candidate_id,parent_candidate_id,ref,hebrew_token,parent_phrase,proposed_zekelman_standard,canonical_skill_id,canonical_standard_anchor,evidence_note,confidence,current_status,recommended_decision,yossi_decision,yossi_notes
stdtok_b1_24_31_001,std_b1_24_r002,Bereishis 1:24,תוצא,תּוֹצֵא הָאָרֶץ,3.07,VERB.TENSE.FUTURE,3.07,Token-level verb-form candidate remains follow-up.,low,needs_follow_up,needs_follow_up,,
stdtok_b1_24_31_002,std_b1_24_r002,Bereishis 1:24,ארץ,תּוֹצֵא הָאָרֶץ,3.01,WORD.MEANING_BASIC,3.01,Clean noun-vocabulary token candidate.,medium,pending_yossi_enrichment_review,verified,,
stdtok_b1_24_31_003,std_b1_24_r003,Bereishis 1:24,נפש,נֶפֶשׁ חַיָּה לְמִינָהּ,3.01,WORD.MEANING_BASIC,3.01,Clean noun-vocabulary token candidate.,medium,pending_yossi_enrichment_review,verified,,
stdtok_b1_24_31_004,std_b1_24_r003,Bereishis 1:24,חיה,נֶפֶשׁ חַיָּה לְמִינָהּ,3.01,WORD.MEANING_BASIC,3.01,Clean noun-vocabulary token candidate.,medium,pending_yossi_enrichment_review,verified,,
stdtok_b1_24_31_005,std_b1_24_r003,Bereishis 1:24,ל,נֶפֶשׁ חַיָּה לְמִינָהּ,3.06,PREFIX.BASIC_PREPOSITIONS,3.06,Prefix/preposition standards mapping remains delicate.,low,needs_follow_up,needs_follow_up,,
stdtok_b1_24_31_006,std_b1_24_r003,Bereishis 1:24,מין,נֶפֶשׁ חַיָּה לְמִינָהּ,3.02,ROOT.IDENTIFY,3.02,Root/construct analysis for למינה remains follow-up.,low,needs_follow_up,needs_follow_up,,
stdtok_b1_24_31_007,std_b1_24_r004,Bereishis 1:24,בהמה,בְּהֵמָה וָרֶמֶשׂ וְחַיְתוֹ אֶרֶץ לְמִינָהּ,3.01,WORD.MEANING_BASIC,3.01,Clean noun-vocabulary token candidate.,medium,pending_yossi_enrichment_review,verified,,
stdtok_b1_24_31_008,std_b1_24_r004,Bereishis 1:24,רמש,בְּהֵמָה וָרֶמֶשׂ וְחַיְתוֹ אֶרֶץ לְמִינָהּ,3.01,WORD.MEANING_BASIC,3.01,Clean noun-vocabulary token candidate.,medium,pending_yossi_enrichment_review,verified,,
stdtok_b1_24_31_009,std_b1_24_r004,Bereishis 1:24,חיתו,בְּהֵמָה וָרֶמֶשׂ וְחַיְתוֹ אֶרֶץ לְמִינָהּ,3.01,WORD.MEANING_BASIC,3.01,Construct/suffix noun form remains follow-up.,low,needs_follow_up,needs_follow_up,,
stdtok_b1_24_31_010,std_b1_24_r004,Bereishis 1:24,ארץ,בְּהֵמָה וָרֶמֶשׂ וְחַיְתוֹ אֶרֶץ לְמִינָהּ,3.01,WORD.MEANING_BASIC,3.01,Clean noun-vocabulary token candidate.,medium,pending_yossi_enrichment_review,verified,,
stdtok_b1_24_31_011,std_b1_24_r004,Bereishis 1:24,ל,בְּהֵמָה וָרֶמֶשׂ וְחַיְתוֹ אֶרֶץ לְמִינָהּ,3.06,PREFIX.BASIC_PREPOSITIONS,3.06,Prefix in למינה remains follow-up.,low,needs_follow_up,needs_follow_up,,
stdtok_b1_24_31_012,std_b1_25_r007,Bereishis 1:25,את,אֶת חַיַּת הָאָרֶץ לְמִינָהּ,3.03,PARTICLE.DIRECT_OBJECT_MARKER,3.03,Direct-object marker token candidate.,medium,pending_yossi_enrichment_review,verified,,
stdtok_b1_24_31_013,std_b1_25_r007,Bereishis 1:25,חית,אֶת חַיַּת הָאָרֶץ לְמִינָהּ,3.01,WORD.MEANING_BASIC,3.01,Construct noun form remains follow-up.,low,needs_follow_up,needs_follow_up,,
