candidate_id,parent_candidate_id,ref,hebrew_token,parent_phrase,proposed_zekelman_standard,canonical_skill_id,canonical_standard_anchor,evidence_note,confidence,current_status,recommended_decision,yossi_decision,yossi_notes
stdtok_b1_6_r002_t001,std_b1_6_r002,Bereishis 1:6,יהי,יְהִי רָקִיעַ,3.07,VERB.TENSE.FUTURE,3.07,"Token-level row isolates יהי into a Standard 3.07 verb-form lane mapped through VERB.TENSE.FUTURE. Local evidence is still indirect, so this token remains follow-up only.",low,needs_follow_up,needs_follow_up,,
stdtok_b1_6_r002_t002,std_b1_6_r002,Bereishis 1:6,רקיע,יְהִי רָקִיעַ,3.01,WORD.MEANING_BASIC,3.01,"Token-level row isolates רקיע into a Standard 3.01 noun-vocabulary lane mapped through WORD.MEANING_BASIC. Local evidence is clean enough for Yossi review, but the row remains review-only and not verified.",medium,pending_yossi_enrichment_review,verified,,
stdtok_b1_8_r011_t001,std_b1_8_r011,Bereishis 1:8,ל,וַיִּקְרָא אֱלֹקִים לָרָקִיעַ שָׁמָיִם,3.06,PREFIX.BASIC_PREPOSITIONS,3.06,"This token-level row isolates the prefixed ל from surface לרקיע into the Standard 3.06 prefix-function lane. The standards framing is plausible but still needs Yossi review, so the row remains follow-up only.",low,needs_follow_up,needs_follow_up,,
stdtok_b1_8_r011_t002,std_b1_8_r011,Bereishis 1:8,רקיע,וַיִּקְרָא אֱלֹקִים לָרָקִיעַ שָׁמָיִם,3.01,WORD.MEANING_BASIC,3.01,This token-level row isolates the base noun רקיע from surface לרקיע into the Standard 3.01 noun-vocabulary lane. The row is pending Yossi review only.,medium,pending_yossi_enrichment_review,verified,,
stdtok_b1_8_r011_t003,std_b1_8_r011,Bereishis 1:8,שמים,וַיִּקְרָא אֱלֹקִים לָרָקִיעַ שָׁמָיִם,3.01,WORD.MEANING_BASIC,3.01,This token-level row isolates שמים into the Standard 3.01 noun-vocabulary lane mapped through WORD.MEANING_BASIC. The row remains review-only pending Yossi review.,medium,pending_yossi_enrichment_review,verified,,
stdtok_b1_9_r017_t001,std_b1_9_r017,Bereishis 1:9,ותראה,וְתֵרָאֶה הַיַּבָּשָׁה,3.07,VERB.TENSE.FUTURE,3.07,"Token-level row isolates ותראה into the Standard 3.07 verb-feature lane. The exact stem/function remains uncertain, so this row stays follow-up only.",low,needs_follow_up,needs_follow_up,,
stdtok_b1_9_r017_t002,std_b1_9_r017,Bereishis 1:9,יבשה,וְתֵרָאֶה הַיַּבָּשָׁה,3.01,WORD.MEANING_BASIC,3.01,"Token-level row isolates base יבשה into a Standard 3.01 noun-vocabulary lane, but the current support is still mostly contextual from the source slice. Keep as follow-up only.",low,needs_follow_up,needs_follow_up,,
stdtok_b1_11_r023_t001,std_b1_11_r023,Bereishis 1:11,תדשא,תַּדְשֵׁא הָאָרֶץ דֶּשֶׁא,3.07,VERB.TENSE.FUTURE,3.07,"Token-level row isolates תדשא into the Standard 3.07 verb-feature lane. The morphology proposal is plausible, but the row stays review-only until Yossi narrows the exact verb-form reading.",medium,needs_follow_up,needs_follow_up,,
stdtok_b1_11_r023_t002,std_b1_11_r023,Bereishis 1:11,דשא,תַּדְשֵׁא הָאָרֶץ דֶּשֶׁא,3.01,WORD.MEANING_BASIC,3.01,"Token-level row isolates דשא into a Standard 3.01 noun-vocabulary lane. Local evidence is decent enough for Yossi review, but the row remains review-only.",medium,pending_yossi_enrichment_review,verified,,
stdtok_b1_11_r024_t001,std_b1_11_r024,Bereishis 1:11,מזריע,עֵשֶׂב מַזְרִיעַ זֶרַע,3.07,VERB.TENSE.PRESENT,3.07,"Token-level row isolates מזריע into a Standard 3.07 verb-feature lane mapped through VERB.TENSE.PRESENT. The participle/present analysis still needs Yossi review, so this row remains follow-up only.",medium,needs_follow_up,needs_follow_up,,
stdtok_b1_11_r024_t002,std_b1_11_r024,Bereishis 1:11,זרע,עֵשֶׂב מַזְרִיעַ זֶרַע,3.01,WORD.MEANING_BASIC,3.01,Token-level row isolates זרע into the Standard 3.01 noun-vocabulary lane mapped through WORD.MEANING_BASIC. It remains pending Yossi review only.,medium,pending_yossi_enrichment_review,verified,,
stdtok_b1_11_r025_t001,std_b1_11_r025,Bereishis 1:11,פרי,עֵץ פְּרִי עֹשֶׂה פְּרִי,3.01,WORD.MEANING_BASIC,3.01,Token-level row isolates פרי into the Standard 3.01 noun-vocabulary lane. The row remains review-only pending Yossi review.,medium,pending_yossi_enrichment_review,verified,,
stdtok_b1_11_r025_t002,std_b1_11_r025,Bereishis 1:11,עושה,עֵץ פְּרִי עֹשֶׂה פְּרִי,3.07,VERB.TENSE.PRESENT,3.07,"Token-level row isolates עושה into the Standard 3.07 verb-feature lane. Because the exact verb-form interpretation is still broad, the row remains follow-up only.",low,needs_follow_up,needs_follow_up,,
