candidate_id,ref,hebrew_phrase,hebrew_token,proposed_values,evidence_source_id,evidence_note,confidence,current_status,what_to_check,recommended_default_decision,yossi_decision,yossi_notes,safety_warning
morph_b1_24_r001_t001,Bereishis 1:24,וַיֹּאמֶר אֱלֹקִים,ויאמר,shoresh=אמר; prefixes=ו; suffixes=; tense=past; person=3; gender=masculine; number=singular; part_of_speech=verb; dikduk_feature=vav-hahipuch narrative verb candidate; canonical_skill_id=,data/word_bank.json:ויאמר; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_001,Word-bank support for אמר exists; keep review-only pending Yossi.,medium,pending_yossi_enrichment_review,Confirm whether the token-level proposal is supported enough for enrichment review only; keep all later gates closed.,verified,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
morph_b1_24_r002_t001,Bereishis 1:24,תּוֹצֵא הָאָרֶץ,תוצא,shoresh=יצא; prefixes=; suffixes=; tense=future/jussive; person=; gender=feminine; number=singular; part_of_speech=verb; dikduk_feature=future/jussive form candidate; canonical_skill_id=,data/word_bank.json:תוצא; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_002,Future/jussive form still needs stronger token-level morphology evidence.,low,needs_follow_up,Confirm whether the token-level proposal is supported enough for enrichment review only; keep all later gates closed.,needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
morph_b1_24_r005_t001,Bereishis 1:24,וַיְהִי כֵן,ויהי,shoresh=היה; prefixes=ו; suffixes=; tense=past/narrative; person=; gender=; number=singular; part_of_speech=verb; dikduk_feature=vav narrative being-form candidate; canonical_skill_id=,data/word_bank.json:ויהי; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_005,Recurring ויהי form remains morphology follow-up.,low,needs_follow_up,Confirm whether the token-level proposal is supported enough for enrichment review only; keep all later gates closed.,needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
morph_b1_24_r006_t001,Bereishis 1:25,וַיַּעַשׂ אֱלֹקִים,ויעש,shoresh=עשה; prefixes=ו; suffixes=; tense=past; person=3; gender=masculine; number=singular; part_of_speech=verb; dikduk_feature=vav-hahipuch narrative verb candidate; canonical_skill_id=,data/word_bank.json:ויעש; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_006,Local evidence supports verb/root proposal; still review-only.,medium,pending_yossi_enrichment_review,Confirm whether the token-level proposal is supported enough for enrichment review only; keep all later gates closed.,verified,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
morph_b1_24_r010_t001,Bereishis 1:25,וַיַּרְא אֱלֹקִים כִּי טוֹב,וירא,shoresh=ראה; prefixes=ו; suffixes=; tense=past; person=3; gender=masculine; number=singular; part_of_speech=verb; dikduk_feature=vav-hahipuch narrative verb candidate; canonical_skill_id=,data/word_bank.json:וירא; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_010,Local evidence supports ראה token-level proposal; pending review.,medium,pending_yossi_enrichment_review,Confirm whether the token-level proposal is supported enough for enrichment review only; keep all later gates closed.,verified,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
morph_b1_24_r011_t001,Bereishis 1:26,וַיֹּאמֶר אֱלֹקִים,ויאמר,shoresh=אמר; prefixes=ו; suffixes=; tense=past; person=3; gender=masculine; number=singular; part_of_speech=verb; dikduk_feature=vav-hahipuch narrative verb candidate; canonical_skill_id=,data/word_bank.json:ויאמר; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_011,Second ויאמר instance kept review-only.,medium,pending_yossi_enrichment_review,Confirm whether the token-level proposal is supported enough for enrichment review only; keep all later gates closed.,verified,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
morph_b1_24_r012_t001,Bereishis 1:26,נַעֲשֶׂה אָדָם,נעשה,shoresh=עשה; prefixes=; suffixes=; tense=cohortative/plural; person=; gender=; number=plural; part_of_speech=verb; dikduk_feature=cohortative/plural form candidate; canonical_skill_id=,data/word_bank.json:נעשה; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_012,Cohortative/plural nuance requires follow-up evidence.,low,needs_follow_up,Confirm whether the token-level proposal is supported enough for enrichment review only; keep all later gates closed.,needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
morph_b1_24_r014_t001,Bereishis 1:26,וְיִרְדּוּ בִדְגַת הַיָּם וּבְעוֹף הַשָּׁמַיִם,וירדו,shoresh=ירד; prefixes=ו; suffixes=; tense=future/jussive; person=; gender=; number=plural; part_of_speech=verb; dikduk_feature=future/jussive plural candidate; canonical_skill_id=,data/word_bank.json:וירדו; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_014,Verb-form lane remains uncertain and needs follow-up.,low,needs_follow_up,Confirm whether the token-level proposal is supported enough for enrichment review only; keep all later gates closed.,needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
morph_b1_24_r016_t001,Bereishis 1:27,וַיִּבְרָא אֱלֹקִים אֶת הָאָדָם בְּצַלְמוֹ,ויברא,shoresh=ברא; prefixes=ו; suffixes=; tense=past; person=3; gender=masculine; number=singular; part_of_speech=verb; dikduk_feature=vav-hahipuch narrative verb candidate; canonical_skill_id=,data/word_bank.json:ויברא; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_016,Creation verb has local support; still pending Yossi review.,medium,pending_yossi_enrichment_review,Confirm whether the token-level proposal is supported enough for enrichment review only; keep all later gates closed.,verified,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
morph_b1_24_r017_t001,Bereishis 1:27,בְּצֶלֶם אֱלֹקִים בָּרָא אֹתוֹ,ברא,shoresh=ברא; prefixes=; suffixes=; tense=past; person=3; gender=masculine; number=singular; part_of_speech=verb; dikduk_feature=plain verb-form candidate; canonical_skill_id=,data/word_bank.json:ברא; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_017,Root/form candidate is useful enrichment evidence only.,medium,pending_yossi_enrichment_review,Confirm whether the token-level proposal is supported enough for enrichment review only; keep all later gates closed.,verified,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
