source_candidate_file	source_candidate_id	ref	hebrew_token	category	compressed_review_group_id	recommended_group_decision
data/source_skill_enrichment/morphology_candidates/bereishis_perek_2_morphology_candidates.tsv	p2_morph_238	Bereishis 2:19	אֶל	morphology_function_word_source_only	p2_comp_001	source_only
data/source_skill_enrichment/morphology_candidates/bereishis_perek_2_morphology_candidates.tsv	p2_morph_292	Bereishis 2:22	אֶל	morphology_function_word_source_only	p2_comp_001	source_only
data/source_skill_enrichment/morphology_candidates/bereishis_perek_2_morphology_candidates.tsv	p2_morph_011	Bereishis 2:2	אֲשֶׁר	morphology_function_word_source_only	p2_comp_002	source_only
data/source_skill_enrichment/morphology_candidates/bereishis_perek_2_morphology_candidates.tsv	p2_morph_018	Bereishis 2:2	אֲשֶׁר	morphology_function_word_source_only	p2_comp_002	source_only
data/source_skill_enrichment/morphology_candidates/bereishis_perek_2_morphology_candidates.tsv	p2_morph_032	Bereishis 2:3	אֲשֶׁר	morphology_function_word_source_only	p2_comp_002	source_only
data/source_skill_enrichment/morphology_candidates/bereishis_perek_2_morphology_candidates.tsv	p2_morph_105	Bereishis 2:8	אֲשֶׁר	morphology_function_word_source_only	p2_comp_002	source_only
data/source_skill_enrichment/morphology_candidates/bereishis_perek_2_morphology_candidates.tsv	p2_morph_146	Bereishis 2:11	אֲשֶׁר	morphology_function_word_source_only	p2_comp_002	source_only
data/source_skill_enrichment/morphology_candidates/bereishis_perek_2_morphology_candidates.tsv	p2_morph_245	Bereishis 2:19	אֲשֶׁר	morphology_function_word_source_only	p2_comp_002	source_only
data/source_skill_enrichment/morphology_candidates/bereishis_perek_2_morphology_candidates.tsv	p2_morph_286	Bereishis 2:22	אֲשֶׁר	morphology_function_word_source_only	p2_comp_002	source_only
data/source_skill_enrichment/morphology_candidates/bereishis_perek_2_morphology_candidates.tsv	p2_morph_022	Bereishis 2:3	אֶת	morphology_function_word_source_only	p2_comp_003	source_only
data/source_skill_enrichment/morphology_candidates/bereishis_perek_2_morphology_candidates.tsv	p2_morph_068	Bereishis 2:5	אֶת	morphology_function_word_source_only	p2_comp_003	source_only
data/source_skill_enrichment/morphology_candidates/bereishis_perek_2_morphology_candidates.tsv	p2_morph_075	Bereishis 2:6	אֶת	morphology_function_word_source_only	p2_comp_003	source_only
data/source_skill_enrichment/morphology_candidates/bereishis_perek_2_morphology_candidates.tsv	p2_morph_082	Bereishis 2:7	אֶת	morphology_function_word_source_only	p2_comp_003	source_only
data/source_skill_enrichment/morphology_candidates/bereishis_perek_2_morphology_candidates.tsv	p2_morph_103	Bereishis 2:8	אֶת	morphology_function_word_source_only	p2_comp_003	source_only
data/source_skill_enrichment/morphology_candidates/bereishis_perek_2_morphology_candidates.tsv	p2_morph_130	Bereishis 2:10	אֶת	morphology_function_word_source_only	p2_comp_003	source_only
data/source_skill_enrichment/morphology_candidates/bereishis_perek_2_morphology_candidates.tsv	p2_morph_142	Bereishis 2:11	אֵת	morphology_function_word_source_only	p2_comp_003	source_only
data/source_skill_enrichment/morphology_candidates/bereishis_perek_2_morphology_candidates.tsv	p2_morph_163	Bereishis 2:13	אֵת	morphology_function_word_source_only	p2_comp_003	source_only
data/source_skill_enrichment/morphology_candidates/bereishis_perek_2_morphology_candidates.tsv	p2_morph_182	Bereishis 2:15	אֶת	morphology_function_word_source_only	p2_comp_003	source_only
data/source_skill_enrichment/morphology_candidates/bereishis_perek_2_morphology_candidates.tsv	p2_morph_284	Bereishis 2:22	אֶת	morphology_function_word_source_only	p2_comp_003	source_only
data/source_skill_enrichment/morphology_candidates/bereishis_perek_2_morphology_candidates.tsv	p2_morph_313	Bereishis 2:24	אֶת	morphology_function_word_source_only	p2_comp_003	source_only
data/source_skill_enrichment/morphology_candidates/bereishis_perek_2_morphology_candidates.tsv	p2_morph_076	Bereishis 2:6	כׇּל	morphology_function_word_source_only	p2_comp_004	source_only
data/source_skill_enrichment/morphology_candidates/bereishis_perek_2_morphology_candidates.tsv	p2_morph_112	Bereishis 2:9	כׇּל	morphology_function_word_source_only	p2_comp_004	source_only
data/source_skill_enrichment/morphology_candidates/bereishis_perek_2_morphology_candidates.tsv	p2_morph_143	Bereishis 2:11	כָּל	morphology_function_word_source_only	p2_comp_004	source_only
data/source_skill_enrichment/morphology_candidates/bereishis_perek_2_morphology_candidates.tsv	p2_morph_164	Bereishis 2:13	כָּל	morphology_function_word_source_only	p2_comp_004	source_only
data/source_skill_enrichment/morphology_candidates/bereishis_perek_2_morphology_candidates.tsv	p2_morph_230	Bereishis 2:19	כָּל	morphology_function_word_source_only	p2_comp_004	source_only
data/source_skill_enrichment/morphology_candidates/bereishis_perek_2_morphology_candidates.tsv	p2_morph_234	Bereishis 2:19	כָּל	morphology_function_word_source_only	p2_comp_004	source_only
data/source_skill_enrichment/morphology_candidates/bereishis_perek_2_morphology_candidates.tsv	p2_morph_059	Bereishis 2:5	לֹא	morphology_function_word_source_only	p2_comp_005	source_only
data/source_skill_enrichment/morphology_candidates/bereishis_perek_2_morphology_candidates.tsv	p2_morph_204	Bereishis 2:17	לֹא	morphology_function_word_source_only	p2_comp_005	source_only
data/source_skill_enrichment/morphology_candidates/bereishis_perek_2_morphology_candidates.tsv	p2_morph_216	Bereishis 2:18	לֹא	morphology_function_word_source_only	p2_comp_005	source_only
data/source_skill_enrichment/morphology_candidates/bereishis_perek_2_morphology_candidates.tsv	p2_morph_264	Bereishis 2:20	לֹא	morphology_function_word_source_only	p2_comp_005	source_only
data/source_skill_enrichment/morphology_candidates/bereishis_perek_2_morphology_candidates.tsv	p2_morph_072	Bereishis 2:6	מִן	morphology_function_word_source_only	p2_comp_006	source_only
data/source_skill_enrichment/morphology_candidates/bereishis_perek_2_morphology_candidates.tsv	p2_morph_085	Bereishis 2:7	מִן	morphology_function_word_source_only	p2_comp_006	source_only
data/source_skill_enrichment/morphology_candidates/bereishis_perek_2_morphology_candidates.tsv	p2_morph_110	Bereishis 2:9	מִן	morphology_function_word_source_only	p2_comp_006	source_only
data/source_skill_enrichment/morphology_candidates/bereishis_perek_2_morphology_candidates.tsv	p2_morph_228	Bereishis 2:19	מִן	morphology_function_word_source_only	p2_comp_006	source_only
data/source_skill_enrichment/morphology_candidates/bereishis_perek_2_morphology_candidates.tsv	p2_morph_288	Bereishis 2:22	מִן	morphology_function_word_source_only	p2_comp_006	source_only
data/source_skill_enrichment/morphology_candidates/bereishis_perek_2_morphology_candidates.tsv	p2_morph_063	Bereishis 2:5	עַל	morphology_function_word_source_only	p2_comp_007	source_only
data/source_skill_enrichment/morphology_candidates/bereishis_perek_2_morphology_candidates.tsv	p2_morph_192	Bereishis 2:16	עַל	morphology_function_word_source_only	p2_comp_007	source_only
