candidate_id,parent_candidate_id,ref,hebrew_token,parent_phrase,proposed_zekelman_standard,canonical_skill_id,canonical_standard_anchor,evidence_note,confidence,current_status,recommended_decision,yossi_decision,yossi_notes
stdtok_b1_1_r002_t001,std_b1_1_r002,Bereishis 1:1,ברא,ברא אלקים,3.02,ROOT.IDENTIFY,3.02,"Token-level evidence supports ברא as a shoresh-identification standards candidate under Standard 3.02, mapped through ROOT.IDENTIFY in the canonical contract. This approval applies to token ברא only, not to the parent phrase ברא אלקים.",medium,yossi_enrichment_verified,needs_follow_up,verified,Yossi approved token-level 3.02 / ROOT.IDENTIFY for ברא only; the parent phrase remains unresolved.
stdtok_b1_1_r003_t001,std_b1_1_r003,Bereishis 1:1,את,את השמים ואת הארץ,3.03,PARTICLE.DIRECT_OBJECT_MARKER,3.03,"The first את is a clean token-level direct-object-marker follow-up candidate anchored to PARTICLE.DIRECT_OBJECT_MARKER and Standard 3.03. This approval is only for token את, not for the whole phrase.",medium,yossi_enrichment_verified,needs_follow_up,verified,Yossi approved token-level direct-object-marker mapping for את under 3.03 / PARTICLE.DIRECT_OBJECT_MARKER.
stdtok_b1_1_r003_t002,std_b1_1_r003,Bereishis 1:1,שמים,את השמים ואת הארץ,3.01,WORD.MEANING_BASIC,3.01,"Base noun שמים is a plausible 3.01 noun-vocabulary follow-up candidate, but the current local evidence is still low-confidence because no separate vocabulary seed was linked. The row remains useful for Yossi follow-up only.",low,needs_follow_up,needs_follow_up,needs_follow_up,Yossi kept שמים as follow-up until stronger noun-vocabulary evidence is linked.
stdtok_b1_1_r003_t003,std_b1_1_r003,Bereishis 1:1,את,את השמים ואת הארץ,3.03,PARTICLE.DIRECT_OBJECT_MARKER,3.03,This row isolates base את from surface ואת so the conjunction stays out of the standards claim. The direct-object-marker mapping to 3.03 / PARTICLE.DIRECT_OBJECT_MARKER is approved for the token-level candidate only.,medium,yossi_enrichment_verified,needs_follow_up,verified,Yossi approved token-level direct-object-marker mapping for את from surface ואת; conjunction handling remains separate.
stdtok_b1_1_r003_t004,std_b1_1_r003,Bereishis 1:1,ארץ,את השמים ואת הארץ,3.01,WORD.MEANING_BASIC,3.01,"Base noun ארץ already has vocabulary support elsewhere in the pilot, so it is an acceptable token-level Standard 3.01 standards candidate under WORD.MEANING_BASIC. The approval applies to token ארץ only.",medium,yossi_enrichment_verified,needs_follow_up,verified,Yossi approved token-level 3.01 / WORD.MEANING_BASIC for base noun ארץ.
stdtok_b1_3_r013_t001,std_b1_3_r013,Bereishis 1:3,יהי,יהי אור,3.07,VERB.TENSE.FUTURE,3.07,"יהי belongs in a 3.07 verb-form review lane if Yossi wants a standards candidate, but the current evidence is still indirect and no trusted token-level morphology parse has been approved. The row remains follow-up only.",low,needs_follow_up,needs_follow_up,needs_follow_up,Yossi kept יהי follow-up pending stronger morphology / verb-form evidence.
stdtok_b1_3_r013_t002,std_b1_3_r013,Bereishis 1:3,אור,יהי אור,3.01,WORD.MEANING_BASIC,3.01,אור is a clean token-level noun-vocabulary standards candidate under Standard 3.01 and maps through WORD.MEANING_BASIC in the canonical contract. The row is approved for enrichment only and does not change any safety gate.,medium,yossi_enrichment_verified,needs_follow_up,verified,Yossi approved token-level 3.01 / WORD.MEANING_BASIC for אור.
stdtok_b1_5_r020_t001,std_b1_5_r020,Bereishis 1:5,אור,לאור יום,3.01,WORD.MEANING_BASIC,3.01,Base noun אור can be reviewed separately from surface לאור as a Standard 3.01 token-level candidate under WORD.MEANING_BASIC. Yossi approved the base noun only; the prefixed ל analysis remains separate.,medium,yossi_enrichment_verified,needs_follow_up,verified,Yossi approved base אור from לאור as 3.01 / WORD.MEANING_BASIC only; prefixed ל remains separate.
stdtok_b1_5_r020_t002,std_b1_5_r020,Bereishis 1:5,יום,לאור יום,3.01,WORD.MEANING_BASIC,3.01,יום is a clean token-level noun-vocabulary standards candidate under Standard 3.01 and maps through WORD.MEANING_BASIC in the canonical contract. The row is approved for enrichment only and does not change any safety gate.,medium,yossi_enrichment_verified,needs_follow_up,verified,Yossi approved token-level 3.01 / WORD.MEANING_BASIC for יום.
stdtok_b1_5_r020_t003,std_b1_5_r020,Bereishis 1:5,ל,לאור יום,3.06,PREFIX.BASIC_PREPOSITIONS,3.06,"The prefixed ל on surface לאור is a plausible 3.06 token-level candidate mapped through PREFIX.BASIC_PREPOSITIONS, but the current evidence is still low-confidence. The row remains follow-up only until stronger prefix/preposition standards evidence is linked.",low,needs_follow_up,needs_follow_up,needs_follow_up,Yossi kept prefixed ל follow-up pending stronger 3.06 prefix/preposition evidence.
