source_candidate_file	source_candidate_id	ref	hebrew_token	category	clean_review_group_id	recommended_yossi_decision
data/source_skill_enrichment/vocabulary_shoresh_candidates/bereishis_perek_2_vocabulary_shoresh_candidates.tsv	p2_vocab_033	Bereishis 2:3	בָּרָא	clean_shoresh_group	p2_comp_120	needs_follow_up
data/source_skill_enrichment/vocabulary_shoresh_candidates/bereishis_perek_2_vocabulary_shoresh_candidates.tsv	p2_vocab_172	Bereishis 2:14	הַהֹלֵךְ	clean_shoresh_group	p2_comp_121	needs_follow_up
data/source_skill_enrichment/vocabulary_shoresh_candidates/bereishis_perek_2_vocabulary_shoresh_candidates.tsv	p2_vocab_094	Bereishis 2:7	חַיָּה	clean_shoresh_group	p2_comp_122	needs_follow_up
data/source_skill_enrichment/vocabulary_shoresh_candidates/bereishis_perek_2_vocabulary_shoresh_candidates.tsv	p2_vocab_250	Bereishis 2:19	חַיָּה	clean_shoresh_group	p2_comp_122	needs_follow_up
data/source_skill_enrichment/vocabulary_shoresh_candidates/bereishis_perek_2_vocabulary_shoresh_candidates.tsv	p2_vocab_106	Bereishis 2:8	יָצָר	clean_shoresh_group	p2_comp_123	needs_follow_up
data/source_skill_enrichment/vocabulary_shoresh_candidates/bereishis_perek_2_vocabulary_shoresh_candidates.tsv	p2_vocab_225	Bereishis 2:19	וַיִּצֶר	clean_shoresh_group	p2_comp_123	needs_follow_up
data/source_skill_enrichment/vocabulary_shoresh_candidates/bereishis_perek_2_vocabulary_shoresh_candidates.tsv	p2_vocab_287	Bereishis 2:22	לָקַח	clean_shoresh_group	p2_comp_124	needs_follow_up
data/source_skill_enrichment/vocabulary_shoresh_candidates/bereishis_perek_2_vocabulary_shoresh_candidates.tsv	p2_vocab_211	Bereishis 2:17	מוֹת	clean_shoresh_group	p2_comp_125	needs_follow_up
data/source_skill_enrichment/vocabulary_shoresh_candidates/bereishis_perek_2_vocabulary_shoresh_candidates.tsv	p2_vocab_012	Bereishis 2:2	עָשָׂה	clean_shoresh_group	p2_comp_126	needs_follow_up
data/source_skill_enrichment/vocabulary_shoresh_candidates/bereishis_perek_2_vocabulary_shoresh_candidates.tsv	p2_vocab_019	Bereishis 2:2	עָשָׂה	clean_shoresh_group	p2_comp_126	needs_follow_up
data/source_skill_enrichment/vocabulary_shoresh_candidates/bereishis_perek_2_vocabulary_shoresh_candidates.tsv	p2_vocab_314	Bereishis 2:24	אָבִיו	clean_vocabulary_noun_group	p2_comp_127	needs_follow_up
data/source_skill_enrichment/vocabulary_shoresh_candidates/bereishis_perek_2_vocabulary_shoresh_candidates.tsv	p2_vocab_155	Bereishis 2:12	וְאֶבֶן	clean_vocabulary_noun_group	p2_comp_128	needs_follow_up
data/source_skill_enrichment/vocabulary_shoresh_candidates/bereishis_perek_2_vocabulary_shoresh_candidates.tsv	p2_vocab_065	Bereishis 2:5	וְאָדָם	clean_vocabulary_noun_group	p2_comp_129	needs_follow_up
data/source_skill_enrichment/vocabulary_shoresh_candidates/bereishis_perek_2_vocabulary_shoresh_candidates.tsv	p2_vocab_083	Bereishis 2:7	הָאָדָם	clean_vocabulary_noun_group	p2_comp_129	needs_follow_up
data/source_skill_enrichment/vocabulary_shoresh_candidates/bereishis_perek_2_vocabulary_shoresh_candidates.tsv	p2_vocab_092	Bereishis 2:7	הָאָדָם	clean_vocabulary_noun_group	p2_comp_129	needs_follow_up
data/source_skill_enrichment/vocabulary_shoresh_candidates/bereishis_perek_2_vocabulary_shoresh_candidates.tsv	p2_vocab_104	Bereishis 2:8	הָאָדָם	clean_vocabulary_noun_group	p2_comp_129	needs_follow_up
data/source_skill_enrichment/vocabulary_shoresh_candidates/bereishis_perek_2_vocabulary_shoresh_candidates.tsv	p2_vocab_183	Bereishis 2:15	הָאָדָם	clean_vocabulary_noun_group	p2_comp_129	needs_follow_up
data/source_skill_enrichment/vocabulary_shoresh_candidates/bereishis_perek_2_vocabulary_shoresh_candidates.tsv	p2_vocab_193	Bereishis 2:16	הָאָדָם	clean_vocabulary_noun_group	p2_comp_129	needs_follow_up
