candidate_id	source_map_file	source_row_id	ref	hebrew_phrase	token_index	hebrew_token	clean_hebrew_no_nikud	proposed_shoresh	proposed_prefixes	proposed_suffixes	proposed_tense	proposed_person	proposed_gender	proposed_number	proposed_part_of_speech	proposed_dikduk_feature	evidence_source_id	evidence_source_type	evidence_note	confidence	enrichment_review_status	yossi_decision	yossi_notes	question_allowed	protected_preview_allowed	runtime_allowed	reviewed_bank_allowed
morph_b1_24_r001_t001	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_001	Bereishis 1:24	וַיֹּאמֶר אֱלֹקִים	1	ויאמר	ויאמר	אמר	ו		past	3	masculine	singular	verb	vav-hahipuch narrative verb candidate	data/word_bank.json:ויאמר; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_001	word_bank; verified_source_to_skill_map	Word-bank support for אמר exists; keep review-only pending Yossi.	medium	yossi_enrichment_verified	verified	Yossi verified this enrichment candidate for enrichment use only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.	needs_review	false	false	false
morph_b1_24_r002_t001	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_002	Bereishis 1:24	תּוֹצֵא הָאָרֶץ	1	תוצא	תוצא	יצא			future/jussive		feminine	singular	verb	future/jussive form candidate	data/word_bank.json:תוצא; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_002	word_bank; verified_source_to_skill_map	Future/jussive form still needs stronger token-level morphology evidence.	low	needs_follow_up	needs_follow_up	Yossi kept this candidate as needs_follow_up: Future/jussive form still needs stronger token-level morphology evidence.	needs_review	false	false	false
morph_b1_24_r005_t001	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_005	Bereishis 1:24	וַיְהִי כֵן	1	ויהי	ויהי	היה	ו		past/narrative			singular	verb	vav narrative being-form candidate	data/word_bank.json:ויהי; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_005	word_bank; verified_source_to_skill_map	Recurring ויהי form remains morphology follow-up.	low	needs_follow_up	needs_follow_up	Yossi kept this candidate as needs_follow_up: Recurring ויהי form remains morphology follow-up.	needs_review	false	false	false
morph_b1_24_r006_t001	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_006	Bereishis 1:25	וַיַּעַשׂ אֱלֹקִים	1	ויעש	ויעש	עשה	ו		past	3	masculine	singular	verb	vav-hahipuch narrative verb candidate	data/word_bank.json:ויעש; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_006	word_bank; verified_source_to_skill_map	Local evidence supports verb/root proposal; still review-only.	medium	yossi_enrichment_verified	verified	Yossi verified this enrichment candidate for enrichment use only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.	needs_review	false	false	false
morph_b1_24_r010_t001	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_010	Bereishis 1:25	וַיַּרְא אֱלֹקִים כִּי טוֹב	1	וירא	וירא	ראה	ו		past	3	masculine	singular	verb	vav-hahipuch narrative verb candidate	data/word_bank.json:וירא; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_010	word_bank; verified_source_to_skill_map	Local evidence supports ראה token-level proposal; pending review.	medium	yossi_enrichment_verified	verified	Yossi verified this enrichment candidate for enrichment use only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.	needs_review	false	false	false
morph_b1_24_r011_t001	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_011	Bereishis 1:26	וַיֹּאמֶר אֱלֹקִים	1	ויאמר	ויאמר	אמר	ו		past	3	masculine	singular	verb	vav-hahipuch narrative verb candidate	data/word_bank.json:ויאמר; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_011	word_bank; verified_source_to_skill_map	Second ויאמר instance kept review-only.	medium	yossi_enrichment_verified	verified	Yossi verified this enrichment candidate for enrichment use only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.	needs_review	false	false	false
morph_b1_24_r012_t001	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_012	Bereishis 1:26	נַעֲשֶׂה אָדָם	1	נעשה	נעשה	עשה			cohortative/plural			plural	verb	cohortative/plural form candidate	data/word_bank.json:נעשה; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_012	word_bank; verified_source_to_skill_map	Cohortative/plural nuance requires follow-up evidence.	low	needs_follow_up	needs_follow_up	Yossi kept this candidate as needs_follow_up: Cohortative/plural nuance requires follow-up evidence.	needs_review	false	false	false
morph_b1_24_r014_t001	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_014	Bereishis 1:26	וְיִרְדּוּ בִדְגַת הַיָּם וּבְעוֹף הַשָּׁמַיִם	1	וירדו	וירדו	ירד	ו		future/jussive			plural	verb	future/jussive plural candidate	data/word_bank.json:וירדו; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_014	word_bank; verified_source_to_skill_map	Verb-form lane remains uncertain and needs follow-up.	low	needs_follow_up	needs_follow_up	Yossi kept this candidate as needs_follow_up: Verb-form lane remains uncertain and needs follow-up.	needs_review	false	false	false
morph_b1_24_r016_t001	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_016	Bereishis 1:27	וַיִּבְרָא אֱלֹקִים אֶת הָאָדָם בְּצַלְמוֹ	1	ויברא	ויברא	ברא	ו		past	3	masculine	singular	verb	vav-hahipuch narrative verb candidate	data/word_bank.json:ויברא; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_016	word_bank; verified_source_to_skill_map	Creation verb has local support; still pending Yossi review.	medium	yossi_enrichment_verified	verified	Yossi verified this enrichment candidate for enrichment use only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.	needs_review	false	false	false
morph_b1_24_r017_t001	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_017	Bereishis 1:27	בְּצֶלֶם אֱלֹקִים בָּרָא אֹתוֹ	3	ברא	ברא	ברא			past	3	masculine	singular	verb	plain verb-form candidate	data/word_bank.json:ברא; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_017	word_bank; verified_source_to_skill_map	Root/form candidate is useful enrichment evidence only.	medium	yossi_enrichment_verified	verified	Yossi verified this enrichment candidate for enrichment use only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.	needs_review	false	false	false
