protected_preview_candidate_id	controlled_draft_item_id	gate_2_input_candidate_id	source_ref	approved_family	hebrew_token	hebrew_phrase	prompt	answer_choices	expected_answer	correct_answer	explanation	source_evidence_note	caution_note	draft_review_status	protected_preview_candidate_status	protected_preview_review_status	answer_key_review_status	distractor_review_status	hebrew_rendering_review_status	context_display_review_status	protected_preview_allowed	reviewed_bank_allowed	runtime_allowed	student_facing_allowed	yossi_protected_preview_decision	yossi_protected_preview_notes
g2ppcand_p3_001	p3_source_candidate_only_001	p3_source_candidate_001	Bereishis 3:1	basic_noun_recognition	וְהַנָּחָשׁ	וְהַנָּחָשׁ הָיָה עָרוּם	What type of word is וְהַנָּחָשׁ?	noun|action word|describing word|prefix	noun	noun	Review-only candidate: וְהַנָּחָשׁ is proposed as a basic noun-recognition item based on verified Bereishis Perek 3 source mapping. Yossi/teacher review is required before any later draft or preview use.	The serpent is a concrete noun in a verified Perek 3 source-to-skill row. Source-backed by verified Perek 3 source-to-skill maps and canonical Hebrew source text in the local repo.	Pending review only. Narrative context is sensitive; review should keep the item as noun recognition only. This is not protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.	needs_yossi_review	yossi_approved_with_revision_before_internal_protected_preview_packet	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	false	false	false	false	approve_with_revision	Good noun candidate, but revise future wording to normalize/target the base noun נחש, not the prefixed/article form וְהַנָּחָשׁ. Keep item limited to noun recognition only.
g2ppcand_p3_002	p3_source_candidate_only_002	p3_source_candidate_002	Bereishis 3:1	basic_noun_recognition	חַיַּת	מִכֹּל חַיַּת הַשָּׂדֶה	What type of word is חַיַּת?	noun|action word|describing word|prefix	noun	noun	Review-only candidate: חַיַּת is proposed as a basic noun-recognition item based on verified Bereishis Perek 3 source mapping. Yossi/teacher review is required before any later draft or preview use.	The word is a visible noun within a verified phrase about living creatures of the field. Source-backed by verified Perek 3 source-to-skill maps and canonical Hebrew source text in the local repo.	Pending review only. Construct/context wording needs teacher review; do not turn this into phrase translation. This is not protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.	needs_yossi_review	needs_follow_up	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	false	false	false	false	needs_follow_up	Construct form חַיַּת is risky for first-layer noun recognition. Needs follow-up because it may confuse noun recognition with construct/phrase translation.
g2ppcand_p3_003	p3_source_candidate_only_003	p3_source_candidate_003	Bereishis 3:1	basic_noun_recognition	עֵץ	לֹא תֹאכְלוּ מִכֹּל עֵץ הַגָּן	What type of word is עֵץ?	noun|action word|describing word|prefix	noun	noun	Review-only candidate: עֵץ is proposed as a basic noun-recognition item based on verified Bereishis Perek 3 source mapping. Yossi/teacher review is required before any later draft or preview use.	The token is a simple noun repeated in the local source context. Source-backed by verified Perek 3 source-to-skill maps and canonical Hebrew source text in the local repo.	Pending review only. The surrounding command/dialogue is blocked; keep review limited to the noun token. This is not protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.	needs_yossi_review	yossi_approved_for_internal_protected_preview_packet	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	false	false	false	false	approve_for_internal_protected_preview_packet	Clean simple noun-recognition candidate. Keep target limited to עֵץ.
g2ppcand_p3_004	p3_source_candidate_only_004	p3_source_candidate_004	Bereishis 3:2	basic_noun_recognition	עֵץ	מִפְּרִי עֵץ הַגָּן נֹאכֵל	What type of word is עֵץ?	noun|action word|describing word|prefix	noun	noun	Review-only candidate: עֵץ is proposed as a basic noun-recognition item based on verified Bereishis Perek 3 source mapping. Yossi/teacher review is required before any later draft or preview use.	The token is a simple noun in an extraction-verified source row. Source-backed by verified Perek 3 source-to-skill maps and canonical Hebrew source text in the local repo.	Pending review only. The phrase includes fruit/garden context; avoid broader comprehension or dialogue inference. This is not protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.	needs_yossi_review	yossi_approved_for_internal_protected_preview_packet	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	false	false	false	false	approve_for_internal_protected_preview_packet	Clean repeated noun-recognition candidate. Acceptable if later packet avoids overuse/repetition.
g2ppcand_p3_005	p3_source_candidate_only_005	p3_source_candidate_005	Bereishis 3:3	basic_noun_recognition	הָעֵץ	וּמִפְּרִי הָעֵץ	What type of word is הָעֵץ?	noun|action word|describing word|prefix	noun	noun	Review-only candidate: הָעֵץ is proposed as a basic noun-recognition item based on verified Bereishis Perek 3 source mapping. Yossi/teacher review is required before any later draft or preview use.	The base noun is visible in a verified source row and can support noun-recognition review. Source-backed by verified Perek 3 source-to-skill maps and canonical Hebrew source text in the local repo.	Pending review only. Surface form includes article; Yossi must decide whether to use base noun wording before any draft. This is not protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.	needs_yossi_review	yossi_approved_with_revision_before_internal_protected_preview_packet	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	false	false	false	false	approve_with_revision	Good noun candidate, but surface form includes article. Future wording should target the base noun עץ, not article recognition.
g2ppcand_p3_006	p3_source_candidate_only_006	p3_source_candidate_006	Bereishis 3:6	basic_noun_recognition	מִפִּרְיוֹ	וַתִּקַּח מִפִּרְיוֹ	What type of word is מִפִּרְיוֹ?	noun|action word|describing word|prefix	noun	noun	Review-only candidate: מִפִּרְיוֹ is proposed as a basic noun-recognition item based on verified Bereishis Perek 3 source mapping. Yossi/teacher review is required before any later draft or preview use.	The token is source-backed and noun-derived in a verified Perek 3 row. Source-backed by verified Perek 3 source-to-skill maps and canonical Hebrew source text in the local repo.	Pending review only. Suffix/possessive form makes this caution-level; do not use for suffix decoding without a later gate. This is not protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.	needs_yossi_review	needs_follow_up	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	false	false	false	false	needs_follow_up	Too morphologically loaded for first-layer noun recognition because it includes prefix + noun + suffix. Do not use for suffix decoding without a later gate.
g2ppcand_p3_007	p3_source_candidate_only_007	p3_source_candidate_007	Bereishis 3:7	basic_noun_recognition	עֲלֵה	וַיִּתְפְּרוּ עֲלֵה תְאֵנָה	What type of word is עֲלֵה?	noun|action word|describing word|prefix	noun	noun	Review-only candidate: עֲלֵה is proposed as a basic noun-recognition item based on verified Bereishis Perek 3 source mapping. Yossi/teacher review is required before any later draft or preview use.	The token is a concrete noun in the canonical source phrase. Source-backed by verified Perek 3 source-to-skill maps and canonical Hebrew source text in the local repo.	Pending review only. The surrounding action is not the target; keep the candidate as noun recognition only. This is not protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.	needs_yossi_review	yossi_approved_for_internal_protected_preview_packet	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	false	false	false	false	approve_for_internal_protected_preview_packet	Clean noun-recognition candidate. Keep target limited to עֲלֵה.
g2ppcand_p3_008	p3_source_candidate_only_008	p3_source_candidate_008	Bereishis 3:7	basic_noun_recognition	תְאֵנָה	וַיִּתְפְּרוּ עֲלֵה תְאֵנָה	What type of word is תְאֵנָה?	noun|action word|describing word|prefix	noun	noun	Review-only candidate: תְאֵנָה is proposed as a basic noun-recognition item based on verified Bereishis Perek 3 source mapping. Yossi/teacher review is required before any later draft or preview use.	The token is a concrete noun in the same verified source phrase. Source-backed by verified Perek 3 source-to-skill maps and canonical Hebrew source text in the local repo.	Pending review only. May require school vocabulary confirmation before any later prompt wording. This is not protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.	needs_yossi_review	yossi_approved_for_internal_protected_preview_packet	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	false	false	false	false	approve_for_internal_protected_preview_packet	Good concrete noun candidate. Keep target limited to תְאֵנָה and confirm later wording is school-appropriate.
g2ppcand_p3_009	p3_source_candidate_only_009	p3_source_candidate_009	Bereishis 3:8	basic_noun_recognition	קוֹל	וַיִּשְׁמְעוּ אֶת קוֹל יְהוָה אֱלֹהִים	What type of word is קוֹל?	noun|action word|describing word|prefix	noun	noun	Review-only candidate: קוֹל is proposed as a basic noun-recognition item based on verified Bereishis Perek 3 source mapping. Yossi/teacher review is required before any later draft or preview use.	The token is a clear noun in a locally verified source row. Source-backed by verified Perek 3 source-to-skill maps and canonical Hebrew source text in the local repo.	Pending review only. The phrase contains Divine name/context; treat as caution-level and review wording carefully. This is not protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.	needs_yossi_review	yossi_approved_with_revision_before_internal_protected_preview_packet	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	false	false	false	false	approve_with_revision	Good noun candidate, but phrase contains שם ה'. Future wording must be careful and avoid full phrase translation.
g2ppcand_p3_010	p3_source_candidate_only_010	p3_source_candidate_010	Bereishis 3:9	basic_noun_recognition	הָאָדָם	אֶל הָאָדָם	What type of word is הָאָדָם?	noun|action word|describing word|prefix	noun	noun	Review-only candidate: הָאָדָם is proposed as a basic noun-recognition item based on verified Bereishis Perek 3 source mapping. Yossi/teacher review is required before any later draft or preview use.	The token is a visible noun/person label in a verified Perek 3 source row. Source-backed by verified Perek 3 source-to-skill maps and canonical Hebrew source text in the local repo.	Pending review only. Surface form includes article; keep away from article/prefix recognition unless separately approved. This is not protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.	needs_yossi_review	yossi_approved_with_revision_before_internal_protected_preview_packet	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	false	false	false	false	approve_with_revision	Good noun/person-label candidate, but surface form includes article. Future wording should target אדם and not article/prefix recognition.
