candidate_id	source_map_file	source_row_id	ref	hebrew_phrase	skill_primary	skill_secondary	proposed_skill_id	proposed_zekelman_standard	proposed_standard_level	evidence_source_id	evidence_source_type	evidence_note	confidence	enrichment_review_status	yossi_decision	yossi_notes	question_allowed	protected_preview_allowed	runtime_allowed	reviewed_bank_allowed
std_b1_24_r002	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_002	Bereishis 1:24	תּוֹצֵא הָאָרֶץ	phrase_translation	translation_context	std3_01_noun_vocabulary_recognition	3.01	Levels 1-8	data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.01; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_002	zekelman_structured_standard; verified_source_to_skill_map	תוצא הארץ mixes verb-form and noun vocabulary lanes; phrase-level row remains unresolved and superseded by token-split standards candidates.	medium	needs_follow_up	needs_follow_up	Yossi kept this candidate as needs_follow_up: תוצא הארץ mixes verb-form and noun vocabulary lanes; phrase-level row remains unresolved and superseded by token-split standards candidates.	needs_review	false	false	false
std_b1_24_r003	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_003	Bereishis 1:24	נֶפֶשׁ חַיָּה לְמִינָהּ	phrase_translation	translation_context	std3_01_noun_vocabulary_recognition	3.01	Levels 1-8	data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.01; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_003	zekelman_structured_standard; verified_source_to_skill_map	נפש חיה למינה mixes noun vocabulary, suffix/construct, and prefix function; keep phrase-level unresolved and superseded by token-split.	medium	needs_follow_up	needs_follow_up	Yossi kept this candidate as needs_follow_up: נפש חיה למינה mixes noun vocabulary, suffix/construct, and prefix function; keep phrase-level unresolved and superseded by token-split.	needs_review	false	false	false
std_b1_24_r004	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_004	Bereishis 1:24	בְּהֵמָה וָרֶמֶשׂ וְחַיְתוֹ אֶרֶץ לְמִינָהּ	phrase_translation	translation_context	std3_01_noun_vocabulary_recognition	3.01	Levels 1-8	data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.01; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_004	zekelman_structured_standard; verified_source_to_skill_map	בהמה/רמש/חיתו/ארץ/למינה mixes multiple noun and prefix lanes; phrase-level unresolved and superseded by token-split.	medium	needs_follow_up	needs_follow_up	Yossi kept this candidate as needs_follow_up: בהמה/רמש/חיתו/ארץ/למינה mixes multiple noun and prefix lanes; phrase-level unresolved and superseded by token-split.	needs_review	false	false	false
std_b1_25_r007	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_007	Bereishis 1:25	אֶת חַיַּת הָאָרֶץ לְמִינָהּ	phrase_translation	translation_context	std3_01_noun_vocabulary_recognition	3.01	Levels 1-8	data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.01; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_007	zekelman_structured_standard; verified_source_to_skill_map	את חית הארץ למינה mixes function word, noun, and prefix lanes; phrase-level unresolved and superseded by token-split.	medium	needs_follow_up	needs_follow_up	Yossi kept this candidate as needs_follow_up: את חית הארץ למינה mixes function word, noun, and prefix lanes; phrase-level unresolved and superseded by token-split.	needs_review	false	false	false
std_b1_25_r009	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_009	Bereishis 1:25	וְאֵת כָּל רֶמֶשׂ הָאֲדָמָה לְמִינֵהוּ	phrase_translation	translation_context	std3_03_function_word_recognition	3.03	Levels 1-8	data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.03; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_009	zekelman_structured_standard; verified_source_to_skill_map	ואת כל רמש האדמה למינהו mixes direct-marker, noun, and suffix lanes; phrase-level unresolved and superseded by token-split.	medium	needs_follow_up	needs_follow_up	Yossi kept this candidate as needs_follow_up: ואת כל רמש האדמה למינהו mixes direct-marker, noun, and suffix lanes; phrase-level unresolved and superseded by token-split.	needs_review	false	false	false
std_b1_26_r014	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_014	Bereishis 1:26	וְיִרְדּוּ בִדְגַת הַיָּם וּבְעוֹף הַשָּׁמַיִם	phrase_translation	translation_context	std3_01_noun_vocabulary_recognition	3.01	Levels 1-8	data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.01; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_014	zekelman_structured_standard; verified_source_to_skill_map	וירדו בדגת הים ובעוף השמים mixes verb and noun vocabulary lanes; phrase-level unresolved and superseded by token-split.	medium	needs_follow_up	needs_follow_up	Yossi kept this candidate as needs_follow_up: וירדו בדגת הים ובעוף השמים mixes verb and noun vocabulary lanes; phrase-level unresolved and superseded by token-split.	needs_review	false	false	false
std_b1_26_r015	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_015	Bereishis 1:26	וּבַבְּהֵמָה וּבְכָל הָאָרֶץ וּבְכָל הָרֶמֶשׂ הָרֹמֵשׂ עַל הָאָרֶץ	phrase_translation	translation_context	std3_06_prefix_function_identification	3.06	Levels 1-8	data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.06; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_015	zekelman_structured_standard; verified_source_to_skill_map	ובבהמה ובכל הארץ ובכל הרמש הרמש על הארץ mixes prefix/preposition with noun lanes; phrase-level unresolved and superseded by token-split.	low	needs_follow_up	needs_follow_up	Yossi kept this candidate as needs_follow_up: ובבהמה ובכל הארץ ובכל הרמש הרמש על הארץ mixes prefix/preposition with noun lanes; phrase-level unresolved and superseded by token-split.	needs_review	false	false	false
std_b1_27_r016	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_016	Bereishis 1:27	וַיִּבְרָא אֱלֹקִים אֶת הָאָדָם בְּצַלְמוֹ	phrase_translation	translation_context	std3_03_function_word_recognition	3.03	Levels 1-8	data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.03; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_016	zekelman_structured_standard; verified_source_to_skill_map	ויברא אלהים את האדם בצלמו mixes verb, direct marker, and noun lanes; phrase-level unresolved and superseded by token-split.	medium	needs_follow_up	needs_follow_up	Yossi kept this candidate as needs_follow_up: ויברא אלהים את האדם בצלמו mixes verb, direct marker, and noun lanes; phrase-level unresolved and superseded by token-split.	needs_review	false	false	false
std_b1_28_r020	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_020	Bereishis 1:28	פְּרוּ וּרְבוּ וּמִלְאוּ אֶת הָאָרֶץ	phrase_translation	translation_context	std3_07_verb_features	3.07	Levels 1-8	data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.07; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_020	zekelman_structured_standard; verified_source_to_skill_map	פרו ורבו ומלאו את הארץ mixes multiple verb forms and direct marker/noun lanes; phrase-level unresolved and superseded by token-split.	low	needs_follow_up	needs_follow_up	Yossi kept this candidate as needs_follow_up: פרו ורבו ומלאו את הארץ mixes multiple verb forms and direct marker/noun lanes; phrase-level unresolved and superseded by token-split.	needs_review	false	false	false
std_b1_28_r022	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_022	Bereishis 1:28	וּרְדוּ בִּדְגַת הַיָּם וּבְעוֹף הַשָּׁמַיִם	phrase_translation	translation_context	std3_07_verb_features	3.07	Levels 1-8	data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.07; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_022	zekelman_structured_standard; verified_source_to_skill_map	ורדו בדגת הים ובעוף השמים mixes imperative/form and noun lanes; phrase-level unresolved and superseded by token-split.	low	needs_follow_up	needs_follow_up	Yossi kept this candidate as needs_follow_up: ורדו בדגת הים ובעוף השמים mixes imperative/form and noun lanes; phrase-level unresolved and superseded by token-split.	needs_review	false	false	false
