candidate_id	parent_candidate_id	source_map_file	source_row_id	ref	hebrew_phrase	token_index	hebrew_token	clean_hebrew_no_nikud	proposed_skill_id	proposed_zekelman_standard	proposed_standard_level	canonical_skill_id	canonical_standard_anchor	evidence_source_id	evidence_source_type	evidence_note	confidence	enrichment_review_status	yossi_decision	yossi_notes	question_allowed	protected_preview_allowed	reviewed_bank_allowed	runtime_allowed
stdtok_b1_1_r002_t001	std_b1_1_r002	data/verified_source_skill_maps/bereishis_1_1_to_1_5_source_to_skill_map.tsv	row_002	Bereishis 1:1	ברא אלקים	1	ברא	ברא	std3_02_shoresh_identification	3.02	Levels 1-8	ROOT.IDENTIFY	3.02	data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.02; data/standards/zekelman/crosswalks/zekelman_2025_standard_3_supplemental_crosswalk.json:3.02; data/curriculum_extraction/samples/word_parse.sample.jsonl:word_parse.bereishis_1_1.bara	zekelman_structured_standard; zekelman_crosswalk; word_parse_sample	Token-level evidence supports ברא as a shoresh-identification standards candidate under Standard 3.02, mapped through ROOT.IDENTIFY in the canonical contract. This approval applies to token ברא only, not to the parent phrase ברא אלקים.	medium	yossi_enrichment_verified	verified	Yossi approved token-level 3.02 / ROOT.IDENTIFY for ברא only; the parent phrase remains unresolved.	needs_review	false	false	false
stdtok_b1_1_r003_t001	std_b1_1_r003	data/verified_source_skill_maps/bereishis_1_1_to_1_5_source_to_skill_map.tsv	row_003	Bereishis 1:1	את השמים ואת הארץ	1	את	את	std3_03_function_word_translation_precision	3.03	Levels 1-8	PARTICLE.DIRECT_OBJECT_MARKER	3.03	data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.03; docs/standards/zekelman/extracted/2025_zekelman_chumash_standards_v2_5_complete_levels_1_8_raw_text.md:2107-2113; data/source_skill_enrichment/standards_candidates/bereishis_1_1_to_1_5_standards_candidates.tsv:std_b1_1_r003	zekelman_structured_standard; zekelman_raw_text_reference; parent_phrase_follow_up	The first את is a clean token-level direct-object-marker follow-up candidate anchored to PARTICLE.DIRECT_OBJECT_MARKER and Standard 3.03. This approval is only for token את, not for the whole phrase.	medium	yossi_enrichment_verified	verified	Yossi approved token-level direct-object-marker mapping for את under 3.03 / PARTICLE.DIRECT_OBJECT_MARKER.	needs_review	false	false	false
stdtok_b1_1_r003_t002	std_b1_1_r003	data/verified_source_skill_maps/bereishis_1_1_to_1_5_source_to_skill_map.tsv	row_003	Bereishis 1:1	את השמים ואת הארץ	2	שמים	שמים	std3_01_noun_vocabulary_recognition	3.01	Levels 1-8	WORD.MEANING_BASIC	3.01	data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.01; data/source_skill_enrichment/standards_candidates/bereishis_1_1_to_1_5_standards_candidates.tsv:std_b1_1_r003	zekelman_structured_standard; parent_phrase_follow_up	Base noun שמים is a plausible 3.01 noun-vocabulary follow-up candidate, but the current local evidence is still low-confidence because no separate vocabulary seed was linked. The row remains useful for Yossi follow-up only.	low	needs_follow_up	needs_follow_up	Yossi kept שמים as follow-up until stronger noun-vocabulary evidence is linked.	needs_review	false	false	false
stdtok_b1_1_r003_t003	std_b1_1_r003	data/verified_source_skill_maps/bereishis_1_1_to_1_5_source_to_skill_map.tsv	row_003	Bereishis 1:1	את השמים ואת הארץ	3	את	את	std3_03_function_word_translation_precision	3.03	Levels 1-8	PARTICLE.DIRECT_OBJECT_MARKER	3.03	data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.03; docs/standards/zekelman/extracted/2025_zekelman_chumash_standards_v2_5_complete_levels_1_8_raw_text.md:2107-2113; data/source_skill_enrichment/standards_candidates/bereishis_1_1_to_1_5_standards_candidates.tsv:std_b1_1_r003	zekelman_structured_standard; zekelman_raw_text_reference; parent_phrase_follow_up	This row isolates base את from surface ואת so the conjunction stays out of the standards claim. The direct-object-marker mapping to 3.03 / PARTICLE.DIRECT_OBJECT_MARKER is approved for the token-level candidate only.	medium	yossi_enrichment_verified	verified	Yossi approved token-level direct-object-marker mapping for את from surface ואת; conjunction handling remains separate.	needs_review	false	false	false
stdtok_b1_1_r003_t004	std_b1_1_r003	data/verified_source_skill_maps/bereishis_1_1_to_1_5_source_to_skill_map.tsv	row_003	Bereishis 1:1	את השמים ואת הארץ	4	ארץ	ארץ	std3_01_noun_vocabulary_recognition	3.01	Levels 1-8	WORD.MEANING_BASIC	3.01	data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.01; data/source_skill_enrichment/vocabulary_shoresh_candidates/bereishis_1_1_to_1_5_vocabulary_shoresh_candidates.tsv:vocab_b1_2_r004_t001	zekelman_structured_standard; verified_vocabulary_candidate	Base noun ארץ already has vocabulary support elsewhere in the pilot, so it is an acceptable token-level Standard 3.01 standards candidate under WORD.MEANING_BASIC. The approval applies to token ארץ only.	medium	yossi_enrichment_verified	verified	Yossi approved token-level 3.01 / WORD.MEANING_BASIC for base noun ארץ.	needs_review	false	false	false
stdtok_b1_3_r013_t001	std_b1_3_r013	data/verified_source_skill_maps/bereishis_1_1_to_1_5_source_to_skill_map.tsv	row_013	Bereishis 1:3	יהי אור	1	יהי	יהי	std3_07_verb_features	3.07	Levels 1-8	VERB.TENSE.FUTURE	3.07	data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.07; data/standards/zekelman/crosswalks/zekelman_2025_standard_3_supplemental_crosswalk.json:3.07; data/word_bank.json:יהי	zekelman_structured_standard; zekelman_crosswalk; word_bank_reference_only	יהי belongs in a 3.07 verb-form review lane if Yossi wants a standards candidate, but the current evidence is still indirect and no trusted token-level morphology parse has been approved. The row remains follow-up only.	low	needs_follow_up	needs_follow_up	Yossi kept יהי follow-up pending stronger morphology / verb-form evidence.	needs_review	false	false	false
stdtok_b1_3_r013_t002	std_b1_3_r013	data/verified_source_skill_maps/bereishis_1_1_to_1_5_source_to_skill_map.tsv	row_013	Bereishis 1:3	יהי אור	2	אור	אור	std3_01_noun_vocabulary_recognition	3.01	Levels 1-8	WORD.MEANING_BASIC	3.01	data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.01; data/curriculum_extraction/samples/vocab_entries.sample.jsonl:vocab_entry.or	zekelman_structured_standard; first_150_vocabulary_sample	אור is a clean token-level noun-vocabulary standards candidate under Standard 3.01 and maps through WORD.MEANING_BASIC in the canonical contract. The row is approved for enrichment only and does not change any safety gate.	medium	yossi_enrichment_verified	verified	Yossi approved token-level 3.01 / WORD.MEANING_BASIC for אור.	needs_review	false	false	false
stdtok_b1_5_r020_t001	std_b1_5_r020	data/verified_source_skill_maps/bereishis_1_1_to_1_5_source_to_skill_map.tsv	row_020	Bereishis 1:5	לאור יום	1	אור	אור	std3_01_noun_vocabulary_recognition	3.01	Levels 1-8	WORD.MEANING_BASIC	3.01	data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.01; data/curriculum_extraction/samples/vocab_entries.sample.jsonl:vocab_entry.or	zekelman_structured_standard; first_150_vocabulary_sample	Base noun אור can be reviewed separately from surface לאור as a Standard 3.01 token-level candidate under WORD.MEANING_BASIC. Yossi approved the base noun only; the prefixed ל analysis remains separate.	medium	yossi_enrichment_verified	verified	Yossi approved base אור from לאור as 3.01 / WORD.MEANING_BASIC only; prefixed ל remains separate.	needs_review	false	false	false
stdtok_b1_5_r020_t002	std_b1_5_r020	data/verified_source_skill_maps/bereishis_1_1_to_1_5_source_to_skill_map.tsv	row_020	Bereishis 1:5	לאור יום	2	יום	יום	std3_01_noun_vocabulary_recognition	3.01	Levels 1-8	WORD.MEANING_BASIC	3.01	data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.01; data/source_skill_enrichment/vocabulary_shoresh_candidates/bereishis_1_1_to_1_5_vocabulary_shoresh_candidates.tsv:vocab_b1_5_r020_t002	zekelman_structured_standard; verified_vocabulary_candidate	יום is a clean token-level noun-vocabulary standards candidate under Standard 3.01 and maps through WORD.MEANING_BASIC in the canonical contract. The row is approved for enrichment only and does not change any safety gate.	medium	yossi_enrichment_verified	verified	Yossi approved token-level 3.01 / WORD.MEANING_BASIC for יום.	needs_review	false	false	false
stdtok_b1_5_r020_t003	std_b1_5_r020	data/verified_source_skill_maps/bereishis_1_1_to_1_5_source_to_skill_map.tsv	row_020	Bereishis 1:5	לאור יום	1	ל	ל	std3_06_prefix_function_identification	3.06	Levels 1-8	PREFIX.BASIC_PREPOSITIONS	3.06	data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.06; data/standards/zekelman/crosswalks/zekelman_2025_standard_3_supplemental_crosswalk.json:3.06; data/source_skill_enrichment/standards_candidates/bereishis_1_1_to_1_5_standards_candidates.tsv:std_b1_5_r020	zekelman_structured_standard; zekelman_crosswalk; parent_phrase_follow_up	The prefixed ל on surface לאור is a plausible 3.06 token-level candidate mapped through PREFIX.BASIC_PREPOSITIONS, but the current evidence is still low-confidence. The row remains follow-up only until stronger prefix/preposition standards evidence is linked.	low	needs_follow_up	needs_follow_up	Yossi kept prefixed ל follow-up pending stronger 3.06 prefix/preposition evidence.	needs_review	false	false	false
