candidate_id	parent_candidate_id	source_map_file	source_row_id	ref	hebrew_phrase	token_index	hebrew_token	clean_hebrew_no_nikud	proposed_skill_id	proposed_zekelman_standard	proposed_standard_level	canonical_skill_id	canonical_standard_anchor	evidence_source_id	evidence_source_type	evidence_note	confidence	enrichment_review_status	yossi_decision	yossi_notes	question_allowed	protected_preview_allowed	reviewed_bank_allowed	runtime_allowed
stdtok_b1_6_r002_t001	std_b1_6_r002	data/verified_source_skill_maps/bereishis_1_6_to_1_13_source_to_skill_map.tsv	row_002	Bereishis 1:6	יְהִי רָקִיעַ	1	יהי	יהי	std3_07_verb_features	3.07	Levels 1-8	VERB.TENSE.FUTURE	3.07	data/word_bank.json:יהי; data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.07; data/standards/zekelman/crosswalks/zekelman_2025_standard_3_supplemental_crosswalk.json:3.07	project_word_bank_reference_only; zekelman_structured_standard; zekelman_crosswalk	Token-level row isolates יהי into a Standard 3.07 verb-form lane mapped through VERB.TENSE.FUTURE. Local evidence is still indirect, so this token remains follow-up only.	low	needs_follow_up	needs_follow_up	Yossi: keep follow-up; do not verify 3.07 mapping while future/jussive evidence remains unresolved.	needs_review	false	false	false
stdtok_b1_6_r002_t002	std_b1_6_r002	data/verified_source_skill_maps/bereishis_1_6_to_1_13_source_to_skill_map.tsv	row_002	Bereishis 1:6	יְהִי רָקִיעַ	2	רקיע	רקיע	std3_01_noun_vocabulary_recognition	3.01	Levels 1-8	WORD.MEANING_BASIC	3.01	data/curriculum_extraction/reports/batch_002_manual_review_packet.md:יהי רקיע; data/word_bank.json:רקיע	curriculum_extraction_manual_review_packet; project_word_bank_reference_only	Token-level row isolates רקיע into a Standard 3.01 noun-vocabulary lane mapped through WORD.MEANING_BASIC. Local evidence is clean enough for Yossi review, but the row remains review-only and not verified.	medium	yossi_enrichment_verified	verified	Yossi: verified as enrichment evidence only; clean 3.01 WORD.MEANING_BASIC mapping for ????.	needs_review	false	false	false
stdtok_b1_8_r011_t001	std_b1_8_r011	data/verified_source_skill_maps/bereishis_1_6_to_1_13_source_to_skill_map.tsv	row_011	Bereishis 1:8	וַיִּקְרָא אֱלֹקִים לָרָקִיעַ שָׁמָיִם	1	ל	ל	std3_06_prefix_function_identification	3.06	Levels 1-8	PREFIX.BASIC_PREPOSITIONS	3.06	data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.06; data/source_skill_enrichment/standards_candidates/bereishis_1_6_to_1_13_standards_candidates.tsv:std_b1_8_r011	zekelman_structured_standard; parent_phrase_follow_up	This token-level row isolates the prefixed ל from surface לרקיע into the Standard 3.06 prefix-function lane. The standards framing is plausible but still needs Yossi review, so the row remains follow-up only.	low	needs_follow_up	needs_follow_up	Yossi: keep follow-up; prefix/preposition standards evidence for ? remains low-confidence.	needs_review	false	false	false
stdtok_b1_8_r011_t002	std_b1_8_r011	data/verified_source_skill_maps/bereishis_1_6_to_1_13_source_to_skill_map.tsv	row_011	Bereishis 1:8	וַיִּקְרָא אֱלֹקִים לָרָקִיעַ שָׁמָיִם	1	רקיע	רקיע	std3_01_noun_vocabulary_recognition	3.01	Levels 1-8	WORD.MEANING_BASIC	3.01	data/curriculum_extraction/reports/batch_002_manual_review_packet.md:יהי רקיע; data/word_bank.json:רקיע	curriculum_extraction_manual_review_packet; project_word_bank_reference_only	This token-level row isolates the base noun רקיע from surface לרקיע into the Standard 3.01 noun-vocabulary lane. The row is pending Yossi review only.	medium	yossi_enrichment_verified	verified	Yossi: verified as enrichment evidence only; clean 3.01 WORD.MEANING_BASIC mapping for ????.	needs_review	false	false	false
stdtok_b1_8_r011_t003	std_b1_8_r011	data/verified_source_skill_maps/bereishis_1_6_to_1_13_source_to_skill_map.tsv	row_011	Bereishis 1:8	וַיִּקְרָא אֱלֹקִים לָרָקִיעַ שָׁמָיִם	2	שמים	שמים	std3_01_noun_vocabulary_recognition	3.01	Levels 1-8	WORD.MEANING_BASIC	3.01	data/curriculum_extraction/raw_sources/batch_001/vocabulary_priority_pack_cleaned.md:line14; data/word_bank.json:שמים	vocabulary_priority_pack_raw_reference; project_word_bank_reference_only	This token-level row isolates שמים into the Standard 3.01 noun-vocabulary lane mapped through WORD.MEANING_BASIC. The row remains review-only pending Yossi review.	medium	yossi_enrichment_verified	verified	Yossi: verified as enrichment evidence only; clean 3.01 WORD.MEANING_BASIC mapping for ????.	needs_review	false	false	false
stdtok_b1_9_r017_t001	std_b1_9_r017	data/verified_source_skill_maps/bereishis_1_6_to_1_13_source_to_skill_map.tsv	row_017	Bereishis 1:9	וְתֵרָאֶה הַיַּבָּשָׁה	1	ותראה	ותראה	std3_07_verb_features	3.07	Levels 1-8	VERB.TENSE.FUTURE	3.07	data/word_bank.json:ותראה; data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.07	project_word_bank_reference_only; zekelman_structured_standard	Token-level row isolates ותראה into the Standard 3.07 verb-feature lane. The exact stem/function remains uncertain, so this row stays follow-up only.	low	needs_follow_up	needs_follow_up	Yossi: keep follow-up; verb-form/stem uncertainty remains.	needs_review	false	false	false
stdtok_b1_9_r017_t002	std_b1_9_r017	data/verified_source_skill_maps/bereishis_1_6_to_1_13_source_to_skill_map.tsv	row_017	Bereishis 1:9	וְתֵרָאֶה הַיַּבָּשָׁה	2	יבשה	יבשה	std3_01_noun_vocabulary_recognition	3.01	Levels 1-8	WORD.MEANING_BASIC	3.01	data/verified_source_skill_maps/bereishis_1_6_to_1_13_source_to_skill_map.tsv:row_017	verified_source_to_skill_map	Token-level row isolates base יבשה into a Standard 3.01 noun-vocabulary lane, but the current support is still mostly contextual from the source slice. Keep as follow-up only.	low	needs_follow_up	needs_follow_up	Yossi: keep follow-up; ???? evidence is low-confidence and mostly contextual.	needs_review	false	false	false
stdtok_b1_11_r023_t001	std_b1_11_r023	data/verified_source_skill_maps/bereishis_1_6_to_1_13_source_to_skill_map.tsv	row_023	Bereishis 1:11	תַּדְשֵׁא הָאָרֶץ דֶּשֶׁא	1	תדשא	תדשא	std3_07_verb_features	3.07	Levels 1-8	VERB.TENSE.FUTURE	3.07	data/word_bank.json:תדשא; data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.07	project_word_bank_reference_only; zekelman_structured_standard	Token-level row isolates תדשא into the Standard 3.07 verb-feature lane. The morphology proposal is plausible, but the row stays review-only until Yossi narrows the exact verb-form reading.	medium	needs_follow_up	needs_follow_up	Yossi: keep follow-up; exact verb-form lane still needs standards review.	needs_review	false	false	false
stdtok_b1_11_r023_t002	std_b1_11_r023	data/verified_source_skill_maps/bereishis_1_6_to_1_13_source_to_skill_map.tsv	row_023	Bereishis 1:11	תַּדְשֵׁא הָאָרֶץ דֶּשֶׁא	3	דשא	דשא	std3_01_noun_vocabulary_recognition	3.01	Levels 1-8	WORD.MEANING_BASIC	3.01	data/word_bank.json:דשא; data/verified_source_skill_maps/bereishis_1_6_to_1_13_source_to_skill_map.tsv:row_023	project_word_bank_reference_only; verified_source_to_skill_map	Token-level row isolates דשא into a Standard 3.01 noun-vocabulary lane. Local evidence is decent enough for Yossi review, but the row remains review-only.	medium	yossi_enrichment_verified	verified	Yossi: verified as enrichment evidence only; clean 3.01 WORD.MEANING_BASIC mapping for ???.	needs_review	false	false	false
stdtok_b1_11_r024_t001	std_b1_11_r024	data/verified_source_skill_maps/bereishis_1_6_to_1_13_source_to_skill_map.tsv	row_024	Bereishis 1:11	עֵשֶׂב מַזְרִיעַ זֶרַע	2	מזריע	מזריע	std3_07_verb_features	3.07	Levels 1-8	VERB.TENSE.PRESENT	3.07	data/word_bank.json:מזריע; data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.07	project_word_bank_reference_only; zekelman_structured_standard	Token-level row isolates מזריע into a Standard 3.07 verb-feature lane mapped through VERB.TENSE.PRESENT. The participle/present analysis still needs Yossi review, so this row remains follow-up only.	medium	needs_follow_up	needs_follow_up	Yossi: keep follow-up; participle/present standards mapping for ????? still needs review.	needs_review	false	false	false
