candidate_id	parent_candidate_id	source_map_file	source_row_id	ref	hebrew_phrase	token_index	hebrew_token	clean_hebrew_no_nikud	proposed_skill_id	proposed_zekelman_standard	proposed_standard_level	canonical_skill_id	canonical_standard_anchor	evidence_source_id	evidence_source_type	evidence_note	confidence	enrichment_review_status	yossi_decision	yossi_notes	question_allowed	protected_preview_allowed	reviewed_bank_allowed	runtime_allowed
stdtok_b1_24_31_001	std_b1_24_r002	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_002	Bereishis 1:24	תּוֹצֵא הָאָרֶץ	1	תוצא	תוצא	std3_07_verb_features	3.07	Levels 1-8	VERB.TENSE.FUTURE	3.07	data/standards/canonical_skill_contract.json:VERB.TENSE.FUTURE; data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.07; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_002	canonical_skill_contract; zekelman_structured_standard; verified_source_to_skill_map	Token-level verb-form candidate remains follow-up.	low	needs_follow_up	needs_follow_up	Yossi kept this candidate as needs_follow_up: Token-level verb-form candidate remains follow-up.	needs_review	false	false	false
stdtok_b1_24_31_002	std_b1_24_r002	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_002	Bereishis 1:24	תּוֹצֵא הָאָרֶץ	2	ארץ	ארץ	std3_01_noun_vocabulary_recognition	3.01	Levels 1-8	WORD.MEANING_BASIC	3.01	data/standards/canonical_skill_contract.json:WORD.MEANING_BASIC; data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.01; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_002	canonical_skill_contract; zekelman_structured_standard; verified_source_to_skill_map	Clean noun-vocabulary token candidate.	medium	yossi_enrichment_verified	verified	Yossi verified this enrichment candidate for enrichment use only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.	needs_review	false	false	false
stdtok_b1_24_31_003	std_b1_24_r003	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_003	Bereishis 1:24	נֶפֶשׁ חַיָּה לְמִינָהּ	1	נפש	נפש	std3_01_noun_vocabulary_recognition	3.01	Levels 1-8	WORD.MEANING_BASIC	3.01	data/standards/canonical_skill_contract.json:WORD.MEANING_BASIC; data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.01; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_003	canonical_skill_contract; zekelman_structured_standard; verified_source_to_skill_map	Clean noun-vocabulary token candidate.	medium	yossi_enrichment_verified	verified	Yossi verified this enrichment candidate for enrichment use only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.	needs_review	false	false	false
stdtok_b1_24_31_004	std_b1_24_r003	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_003	Bereishis 1:24	נֶפֶשׁ חַיָּה לְמִינָהּ	2	חיה	חיה	std3_01_noun_vocabulary_recognition	3.01	Levels 1-8	WORD.MEANING_BASIC	3.01	data/standards/canonical_skill_contract.json:WORD.MEANING_BASIC; data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.01; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_003	canonical_skill_contract; zekelman_structured_standard; verified_source_to_skill_map	Clean noun-vocabulary token candidate.	medium	yossi_enrichment_verified	verified	Yossi verified this enrichment candidate for enrichment use only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.	needs_review	false	false	false
stdtok_b1_24_31_005	std_b1_24_r003	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_003	Bereishis 1:24	נֶפֶשׁ חַיָּה לְמִינָהּ	3	ל	ל	std3_06_prefix_function_identification	3.06	Levels 1-8	PREFIX.BASIC_PREPOSITIONS	3.06	data/standards/canonical_skill_contract.json:PREFIX.BASIC_PREPOSITIONS; data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.06; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_003	canonical_skill_contract; zekelman_structured_standard; verified_source_to_skill_map	Prefix/preposition standards mapping remains delicate.	low	needs_follow_up	needs_follow_up	Yossi kept this candidate as needs_follow_up: Prefix/preposition standards mapping remains delicate.	needs_review	false	false	false
stdtok_b1_24_31_006	std_b1_24_r003	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_003	Bereishis 1:24	נֶפֶשׁ חַיָּה לְמִינָהּ	4	מין	מין	std3_02_root_identification	3.02	Levels 1-8	ROOT.IDENTIFY	3.02	data/standards/canonical_skill_contract.json:ROOT.IDENTIFY; data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.02; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_003	canonical_skill_contract; zekelman_structured_standard; verified_source_to_skill_map	Root/construct analysis for למינה remains follow-up.	low	needs_follow_up	needs_follow_up	Yossi kept this candidate as needs_follow_up: Root/construct analysis for למינה remains follow-up.	needs_review	false	false	false
stdtok_b1_24_31_007	std_b1_24_r004	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_004	Bereishis 1:24	בְּהֵמָה וָרֶמֶשׂ וְחַיְתוֹ אֶרֶץ לְמִינָהּ	1	בהמה	בהמה	std3_01_noun_vocabulary_recognition	3.01	Levels 1-8	WORD.MEANING_BASIC	3.01	data/standards/canonical_skill_contract.json:WORD.MEANING_BASIC; data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.01; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_004	canonical_skill_contract; zekelman_structured_standard; verified_source_to_skill_map	Clean noun-vocabulary token candidate.	medium	yossi_enrichment_verified	verified	Yossi verified this enrichment candidate for enrichment use only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.	needs_review	false	false	false
stdtok_b1_24_31_008	std_b1_24_r004	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_004	Bereishis 1:24	בְּהֵמָה וָרֶמֶשׂ וְחַיְתוֹ אֶרֶץ לְמִינָהּ	2	רמש	רמש	std3_01_noun_vocabulary_recognition	3.01	Levels 1-8	WORD.MEANING_BASIC	3.01	data/standards/canonical_skill_contract.json:WORD.MEANING_BASIC; data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.01; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_004	canonical_skill_contract; zekelman_structured_standard; verified_source_to_skill_map	Clean noun-vocabulary token candidate.	medium	yossi_enrichment_verified	verified	Yossi verified this enrichment candidate for enrichment use only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.	needs_review	false	false	false
stdtok_b1_24_31_009	std_b1_24_r004	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_004	Bereishis 1:24	בְּהֵמָה וָרֶמֶשׂ וְחַיְתוֹ אֶרֶץ לְמִינָהּ	3	חיתו	חיתו	std3_01_noun_vocabulary_recognition	3.01	Levels 1-8	WORD.MEANING_BASIC	3.01	data/standards/canonical_skill_contract.json:WORD.MEANING_BASIC; data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.01; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_004	canonical_skill_contract; zekelman_structured_standard; verified_source_to_skill_map	Construct/suffix noun form remains follow-up.	low	needs_follow_up	needs_follow_up	Yossi kept this candidate as needs_follow_up: Construct/suffix noun form remains follow-up.	needs_review	false	false	false
stdtok_b1_24_31_010	std_b1_24_r004	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_004	Bereishis 1:24	בְּהֵמָה וָרֶמֶשׂ וְחַיְתוֹ אֶרֶץ לְמִינָהּ	4	ארץ	ארץ	std3_01_noun_vocabulary_recognition	3.01	Levels 1-8	WORD.MEANING_BASIC	3.01	data/standards/canonical_skill_contract.json:WORD.MEANING_BASIC; data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.01; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_004	canonical_skill_contract; zekelman_structured_standard; verified_source_to_skill_map	Clean noun-vocabulary token candidate.	medium	yossi_enrichment_verified	verified	Yossi verified this enrichment candidate for enrichment use only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.	needs_review	false	false	false
