row_id,ref,hebrew_phrase,linear_translation,metsudah_context,koren_context,skill_primary,skill_secondary,current_status,issue_type,what_to_check,recommended_default_decision,yossi_decision,yossi_notes
bereishis_2_4_to_2_17_source_to_skill_map_row_030,Bereishis 2:10,וּמִשָּׁם יִפָּרֵד,and from there he (the river) will be separated,"A river went out of Eden to water the Garden, and from there it separated and became four headwaters.","And a river went out of ῾Eden to water the garden; and from thence it was parted, and branched into four streams.",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,long_parenthetical;phrase_boundary_check;source_only_recommended,Confirm the parenthetical belongs to this Hebrew phrase. Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_2_4_to_2_17_source_to_skill_map_row_031,Bereishis 2:10,וְהָיָה לְאַרְבָּעָה רָאשִׁים,and he will become four heads (beginnings of rivers),"A river went out of Eden to water the Garden, and from there it separated and became four headwaters.","And a river went out of ῾Eden to water the garden; and from thence it was parted, and branched into four streams.",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,long_parenthetical;phrase_boundary_check;source_only_recommended,Confirm the parenthetical belongs to this Hebrew phrase. Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_2_4_to_2_17_source_to_skill_map_row_045,Bereishis 2:15,וַיַּנִּחֵהוּ בְגַן עֵדֶן,and He caused him to rest (He placed him) in the garden of Eiden,"Adonoy Elohim took the man, and put him in the Garden of Eden, to work it and to preserve it.","And the Lord God took the man, and put him into the garden of ῾Eden to till it and to keep it.",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,long_parenthetical;phrase_boundary_check;source_only_recommended,Confirm the parenthetical belongs to this Hebrew phrase. Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_2_4_to_2_17_source_to_skill_map_row_046,Bereishis 2:15,לְעָבְדָהּ וּלְשָׁמְרָהּ,to work her (the garden) and to guard her,"Adonoy Elohim took the man, and put him in the Garden of Eden, to work it and to preserve it.","And the Lord God took the man, and put him into the garden of ῾Eden to till it and to keep it.",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,long_parenthetical;phrase_boundary_check;source_only_recommended,Confirm the parenthetical belongs to this Hebrew phrase. Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_2_4_to_2_17_source_to_skill_map_row_048,Bereishis 2:16,עַל הָאָדָם לֵאמֹר,the person to say (the following),"Adonoy Elohim commanded the man, saying, You may certainly eat from every tree in the Garden.","And the Lord God commanded the man, saying, Of every tree of the garden thou mayst freely eat:",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,long_parenthetical;phrase_boundary_check;source_only_recommended,Confirm the parenthetical belongs to this Hebrew phrase. Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_2_4_to_2_17_source_to_skill_map_row_051,Bereishis 2:17,וּמֵעֵץ הַדַּעַת טוֹב וָרָע,and from the tree of the knowledge of good and bad,"But from the Tree (of) Knowledge of what is good and evil, you shall not eat from it, for on the day you eat from it, you will certainly die.","but of the tree of the knowledge of good and evil, thou shalt not eat of it: for on the day that thou eatest of it thou shalt surely die.",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,long_parenthetical;phrase_boundary_check;source_only_recommended,Confirm the parenthetical belongs to this Hebrew phrase. Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_2_4_to_2_17_source_to_skill_map_row_052,Bereishis 2:17,לֹא תֹאכַל מִמֶּנּוּ,you may not eat from it,"But from the Tree (of) Knowledge of what is good and evil, you shall not eat from it, for on the day you eat from it, you will certainly die.","but of the tree of the knowledge of good and evil, thou shalt not eat of it: for on the day that thou eatest of it thou shalt surely die.",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,long_parenthetical;phrase_boundary_check;source_only_recommended,Confirm the parenthetical belongs to this Hebrew phrase. Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_2_4_to_2_17_source_to_skill_map_row_053,Bereishis 2:17,כִּי בְּיוֹם אֲכָלְךָ מִמֶּנּוּ,because in the day of your eating from it,"But from the Tree (of) Knowledge of what is good and evil, you shall not eat from it, for on the day you eat from it, you will certainly die.","but of the tree of the knowledge of good and evil, thou shalt not eat of it: for on the day that thou eatest of it thou shalt surely die.",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,long_parenthetical;phrase_boundary_check;source_only_recommended,Confirm the parenthetical belongs to this Hebrew phrase. Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_2_4_to_2_17_source_to_skill_map_row_054,Bereishis 2:17,מוֹת תָּמוּת,you will die,"But from the Tree (of) Knowledge of what is good and evil, you shall not eat from it, for on the day you eat from it, you will certainly die.","but of the tree of the knowledge of good and evil, thou shalt not eat of it: for on the day that thou eatest of it thou shalt surely die.",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,long_parenthetical;phrase_boundary_check;source_only_recommended,Confirm the parenthetical belongs to this Hebrew phrase. Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_2_4_to_2_17_source_to_skill_map_row_001,Bereishis 2:4,אֵלֶּה,these (mentioned previously are),"This is the history of the heavens and the earth when they were created, on the day when Adonoy Elohim made earth and heaven.","These are the generations of the heaven and of the earth when they were created, in the day that the Lord God made the earth and the heavens.",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,long_parenthetical;phrase_boundary_check;source_only_recommended,Confirm the parenthetical belongs to this Hebrew phrase. Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
