row_id,ref,hebrew_phrase,linear_translation,metsudah_context,koren_context,skill_primary,skill_secondary,current_status,issue_type,what_to_check,recommended_default_decision,yossi_decision,yossi_notes
bereishis_3_1_to_3_7_source_to_skill_map_row_002,Bereishis 3:1,מִכֹּל חַיַּת הַשָּׂדֶה,from (more than) all the wild animals of the field,"The serpent was more cunning than any beast of the field which Adonoy Elohim made; and it said to the woman, Did Elohim even say that you should not eat from all the trees of the Garden?","Now the serpent was craftier than all the beasts of the field which the Lord God had made. And he said to the woman, Has God said, You shall not eat of any tree of the garden?",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,long_parenthetical;phrase_boundary_check;source_only_recommended,Confirm the parenthetical belongs to this Hebrew phrase. Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_3_1_to_3_7_source_to_skill_map_row_003,Bereishis 3:1,אֲשֶׁר עָשָׂה יְהוָה אֱלֹהִים,that Hashem did (made),"The serpent was more cunning than any beast of the field which Adonoy Elohim made; and it said to the woman, Did Elohim even say that you should not eat from all the trees of the Garden?","Now the serpent was craftier than all the beasts of the field which the Lord God had made. And he said to the woman, Has God said, You shall not eat of any tree of the garden?",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,long_parenthetical;phrase_boundary_check;source_only_recommended,Confirm the parenthetical belongs to this Hebrew phrase. Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_3_1_to_3_7_source_to_skill_map_row_005,Bereishis 3:1,אַף כִּי אָמַר אֱלֹהִים,(is it) true that Hashem said,"The serpent was more cunning than any beast of the field which Adonoy Elohim made; and it said to the woman, Did Elohim even say that you should not eat from all the trees of the Garden?","Now the serpent was craftier than all the beasts of the field which the Lord God had made. And he said to the woman, Has God said, You shall not eat of any tree of the garden?",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,long_parenthetical;phrase_boundary_check;source_only_recommended,Confirm the parenthetical belongs to this Hebrew phrase. Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_3_1_to_3_7_source_to_skill_map_row_017,Bereishis 3:5,כִּי יֹדֵעַ אֱלֹהִים,because Hashem knows,"For Elohim (knows) that on the day you will eat from it, your eyes will be opened, and you will become as gods, knowing what is good and what is evil.","for God knows that on the day you eat of it, then your eyes shall be opened, and you shall be as gods, knowing good and evil.",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,long_parenthetical;phrase_boundary_check;source_only_recommended,Confirm the parenthetical belongs to this Hebrew phrase. Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_3_1_to_3_7_source_to_skill_map_row_018,Bereishis 3:5,כִּי בְּיוֹם אֲכָלְכֶם מִמֶּנּוּ,that in the day of your eating from it,"For Elohim (knows) that on the day you will eat from it, your eyes will be opened, and you will become as gods, knowing what is good and what is evil.","for God knows that on the day you eat of it, then your eyes shall be opened, and you shall be as gods, knowing good and evil.",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,long_parenthetical;phrase_boundary_check;source_only_recommended,Confirm the parenthetical belongs to this Hebrew phrase. Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_3_1_to_3_7_source_to_skill_map_row_019,Bereishis 3:5,וְנִפְקְחוּ עֵינֵיכֶם,and your eyes will be opened,"For Elohim (knows) that on the day you will eat from it, your eyes will be opened, and you will become as gods, knowing what is good and what is evil.","for God knows that on the day you eat of it, then your eyes shall be opened, and you shall be as gods, knowing good and evil.",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,long_parenthetical;phrase_boundary_check;source_only_recommended,Confirm the parenthetical belongs to this Hebrew phrase. Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_3_1_to_3_7_source_to_skill_map_row_020,Bereishis 3:5,וִהְיִיתֶם כֵּאלֹהִים,and you will be like Hashem,"For Elohim (knows) that on the day you will eat from it, your eyes will be opened, and you will become as gods, knowing what is good and what is evil.","for God knows that on the day you eat of it, then your eyes shall be opened, and you shall be as gods, knowing good and evil.",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,long_parenthetical;phrase_boundary_check;source_only_recommended,Confirm the parenthetical belongs to this Hebrew phrase. Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_3_1_to_3_7_source_to_skill_map_row_021,Bereishis 3:5,יֹדְעֵי טוֹב וָרָע,knowers of good and bad,"For Elohim (knows) that on the day you will eat from it, your eyes will be opened, and you will become as gods, knowing what is good and what is evil.","for God knows that on the day you eat of it, then your eyes shall be opened, and you shall be as gods, knowing good and evil.",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,long_parenthetical;phrase_boundary_check;source_only_recommended,Confirm the parenthetical belongs to this Hebrew phrase. Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_3_1_to_3_7_source_to_skill_map_row_001,Bereishis 3:1,וְהַנָּחָשׁ הָיָה עָרוּם,and the snake was cunning,"The serpent was more cunning than any beast of the field which Adonoy Elohim made; and it said to the woman, Did Elohim even say that you should not eat from all the trees of the Garden?","Now the serpent was craftier than all the beasts of the field which the Lord God had made. And he said to the woman, Has God said, You shall not eat of any tree of the garden?",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,phrase_boundary_check;source_only_recommended,Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_3_1_to_3_7_source_to_skill_map_row_004,Bereishis 3:1,וַיֹּאמֶר אֶל הָאִשָּׁה,and he said to the woman,"The serpent was more cunning than any beast of the field which Adonoy Elohim made; and it said to the woman, Did Elohim even say that you should not eat from all the trees of the Garden?","Now the serpent was craftier than all the beasts of the field which the Lord God had made. And he said to the woman, Has God said, You shall not eat of any tree of the garden?",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,phrase_boundary_check;source_only_recommended,Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
