row_id,ref,hebrew_phrase,linear_translation,metsudah_context,koren_context,skill_primary,skill_secondary,current_status,issue_type,what_to_check,recommended_default_decision,yossi_decision,yossi_notes
bereishis_3_8_to_3_16_source_to_skill_map_row_042,Bereishis 3:15,הוּא יְשׁוּפְךָ רֹאשׁ,he will smash you (on your) head,"I will put hostility between you and the woman, and between your offspring and her offspring. He shall strike you on the head, and you shall strike him on the heel..","and I will put enmity between thee and the woman, and between thy seed and her seed; it shall bruise thy head, and thou shalt bruise his heel.",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,long_parenthetical;phrase_boundary_check;source_only_recommended,Confirm the parenthetical belongs to this Hebrew phrase. Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_3_8_to_3_16_source_to_skill_map_row_043,Bereishis 3:15,וְאַתָּה תְּשׁוּפֶנּוּ עָקֵב,and you will smash (bite) him (in his) heel,"I will put hostility between you and the woman, and between your offspring and her offspring. He shall strike you on the head, and you shall strike him on the heel..","and I will put enmity between thee and the woman, and between thy seed and her seed; it shall bruise thy head, and thou shalt bruise his heel.",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,long_parenthetical;phrase_boundary_check;source_only_recommended,Confirm the parenthetical belongs to this Hebrew phrase. Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_3_8_to_3_16_source_to_skill_map_row_003,Bereishis 3:8,לְרוּחַ הַיּוֹם,to the side (direction) of the day (West),They heard the voice of Adonoy Elohim moving in the Garden at the breeze of the day. The man and his wife hid themselves from [the Presence of] Adonoy Elohim among the trees of the Garden.,And they heard the voice of the Lord God walking in the garden in the breeze of the day: and the man and his wife hid themselves from the presence of the Lord God amongst the trees of the garden.,phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,long_parenthetical;phrase_boundary_check;source_only_recommended,Confirm the parenthetical belongs to this Hebrew phrase. Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_3_8_to_3_16_source_to_skill_map_row_011,Bereishis 3:10,וַיֹּאמֶר,and he said,"He said, I heard Your voice in the Garden, and I was afraid because I was naked, so I hid myself.","And he said, I heard Thy voice in the garden, and I was afraid, because I was naked; and I hid myself.",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,phrase_boundary_check;source_only_recommended,Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_3_8_to_3_16_source_to_skill_map_row_012,Bereishis 3:10,אֶת קֹלְךָ שָׁמַעְתִּי בַּגָּן,I heard Your voice in the garden,"He said, I heard Your voice in the Garden, and I was afraid because I was naked, so I hid myself.","And he said, I heard Thy voice in the garden, and I was afraid, because I was naked; and I hid myself.",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,phrase_boundary_check;source_only_recommended,Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_3_8_to_3_16_source_to_skill_map_row_013,Bereishis 3:10,וָאִירָא,and I was afraid,"He said, I heard Your voice in the Garden, and I was afraid because I was naked, so I hid myself.","And he said, I heard Thy voice in the garden, and I was afraid, because I was naked; and I hid myself.",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,phrase_boundary_check;source_only_recommended,Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_3_8_to_3_16_source_to_skill_map_row_014,Bereishis 3:10,כִּי עֵירֹם אָנֹכִי,because I am unclothed,"He said, I heard Your voice in the Garden, and I was afraid because I was naked, so I hid myself.","And he said, I heard Thy voice in the garden, and I was afraid, because I was naked; and I hid myself.",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,phrase_boundary_check;source_only_recommended,Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_3_8_to_3_16_source_to_skill_map_row_015,Bereishis 3:10,וָאֵחָבֵא,and I hid myself,"He said, I heard Your voice in the Garden, and I was afraid because I was naked, so I hid myself.","And he said, I heard Thy voice in the garden, and I was afraid, because I was naked; and I hid myself.",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,phrase_boundary_check;source_only_recommended,Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_3_8_to_3_16_source_to_skill_map_row_016,Bereishis 3:11,וַיֹּאמֶר,and He said,"And He said, Who told you that you were naked? From the tree whereof I commanded you not to eat of it, have you eaten?","And He said, Who told thee that thou wast naked? Hast thou eaten of the tree, of which I commanded thee that thou shouldst not eat?",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,phrase_boundary_check;source_only_recommended,Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_3_8_to_3_16_source_to_skill_map_row_017,Bereishis 3:11,מִי הִגִּיד לְךָ,who told you,"And He said, Who told you that you were naked? From the tree whereof I commanded you not to eat of it, have you eaten?","And He said, Who told thee that thou wast naked? Hast thou eaten of the tree, of which I commanded thee that thou shouldst not eat?",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,phrase_boundary_check;source_only_recommended,Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_3_8_to_3_16_source_to_skill_map_row_018,Bereishis 3:11,כִּי עֵירֹם אָתָּה,that you are unclothed,"And He said, Who told you that you were naked? From the tree whereof I commanded you not to eat of it, have you eaten?","And He said, Who told thee that thou wast naked? Hast thou eaten of the tree, of which I commanded thee that thou shouldst not eat?",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,phrase_boundary_check;source_only_recommended,Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_3_8_to_3_16_source_to_skill_map_row_019,Bereishis 3:11,הֲמִן הָעֵץ,is it true that from the tree,"And He said, Who told you that you were naked? From the tree whereof I commanded you not to eat of it, have you eaten?","And He said, Who told thee that thou wast naked? Hast thou eaten of the tree, of which I commanded thee that thou shouldst not eat?",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,phrase_boundary_check;source_only_recommended,Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_3_8_to_3_16_source_to_skill_map_row_020,Bereishis 3:11,אֲשֶׁר צִוִּיתִיךָ,that I commanded you,"And He said, Who told you that you were naked? From the tree whereof I commanded you not to eat of it, have you eaten?","And He said, Who told thee that thou wast naked? Hast thou eaten of the tree, of which I commanded thee that thou shouldst not eat?",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,phrase_boundary_check;source_only_recommended,Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_3_8_to_3_16_source_to_skill_map_row_021,Bereishis 3:11,לְבִלְתִּי אֲכָל מִמֶּנּוּ אָכָלְתָּ,not to eat from it,"And He said, Who told you that you were naked? From the tree whereof I commanded you not to eat of it, have you eaten?","And He said, Who told thee that thou wast naked? Hast thou eaten of the tree, of which I commanded thee that thou shouldst not eat?",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,phrase_boundary_check;source_only_recommended,Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
