row_id,ref,hebrew_phrase,linear_translation,metsudah_context,koren_context,skill_primary,skill_secondary,current_status,issue_type,what_to_check,recommended_default_decision,yossi_decision,yossi_notes
bereishis_2_18_to_2_25_source_to_skill_map_row_002,Bereishis 2:18,לֹא טוֹב,(it is) not good,"Adonoy Elohim said, It is not good for the man to be alone. I will make a helper for him.","And the Lord God said, It is not good that the man should be alone; I will make him a help to match him.",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,long_parenthetical;phrase_boundary_check;source_only_recommended,Confirm the parenthetical belongs to this Hebrew phrase. Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_2_18_to_2_25_source_to_skill_map_row_009,Bereishis 2:19,לִרְאוֹת מַה יִּקְרָא לוֹ,to see what he will call to him (to each one),"Adonoy Elohim formed from the ground, every beast of the field, and every bird of the heaven, and brought them to the man, to see what he would call them. Whatever the man called [each] living creature, that is its name.","And out of the ground the Lord God formed every beast of the field, and every bird of the air; and brought them to the man to see what he would call them: and whatever the man called every living creature, that was its name.",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,long_parenthetical;phrase_boundary_check;source_only_recommended,Confirm the parenthetical belongs to this Hebrew phrase. Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_2_18_to_2_25_source_to_skill_map_row_010,Bereishis 2:19,וְכֹל אֲשֶׁר יִקְרָא לוֹ הָאָדָם נֶפֶשׁ חַיָּה,and any live soul that the person will call to him (a name),"Adonoy Elohim formed from the ground, every beast of the field, and every bird of the heaven, and brought them to the man, to see what he would call them. Whatever the man called [each] living creature, that is its name.","And out of the ground the Lord God formed every beast of the field, and every bird of the air; and brought them to the man to see what he would call them: and whatever the man called every living creature, that was its name.",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,long_parenthetical;long_hebrew_boundary;phrase_boundary_check;source_only_recommended,Confirm the parenthetical belongs to this Hebrew phrase. Confirm the Hebrew phrase boundary and segment join are reasonable. Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_2_18_to_2_25_source_to_skill_map_row_020,Bereishis 2:21,וַיִּסְגֹּר בָּשָׂר תַּחְתֶּנָּה,and He closed flesh under (in place of) her (the missing side),Adonoy Elohim caused unconsciousness to fall upon the man and he slept. He took one of his ribs and closed over flesh in its place.,"And the Lord God caused a deep sleep to fall upon the man, and he slept: and He took one of his sides, and closed up the flesh in its place,",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,long_parenthetical;phrase_boundary_check;source_only_recommended,Confirm the parenthetical belongs to this Hebrew phrase. Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_2_18_to_2_25_source_to_skill_map_row_023,Bereishis 2:22,לְאִשָּׁה,(into) a woman,"Adonoy Elohim built the rib that He took from the man into a woman, and He brought her to the man.","and of the side, which the Lord God had taken from the man, He made a woman, and brought her to the man.",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,long_parenthetical;phrase_boundary_check;source_only_recommended,Confirm the parenthetical belongs to this Hebrew phrase. Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_2_18_to_2_25_source_to_skill_map_row_032,Bereishis 2:24,וְדָבַק בְּאִשְׁתּוֹ,and he should attach in his woman (wife),"Therefore, a man shall leave his father and his mother, and cling to his wife, and they shall become one flesh.","That is why a man leaves his father and his mother, and cleaves to his wife: and they become one flesh.",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,long_parenthetical;phrase_boundary_check;source_only_recommended,Confirm the parenthetical belongs to this Hebrew phrase. Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_2_18_to_2_25_source_to_skill_map_row_017,Bereishis 2:21,וַיַּפֵּל יְהוָה אֱלֹהִים תַּרְדֵּמָה עַל הָאָדָם,and Hashem caused a deep sleep to fall on the person,Adonoy Elohim caused unconsciousness to fall upon the man and he slept. He took one of his ribs and closed over flesh in its place.,"And the Lord God caused a deep sleep to fall upon the man, and he slept: and He took one of his sides, and closed up the flesh in its place,",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,long_hebrew_boundary;phrase_boundary_check;source_only_recommended,Confirm the Hebrew phrase boundary and segment join are reasonable. Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_2_18_to_2_25_source_to_skill_map_row_001,Bereishis 2:18,וַיֹּאמֶר יְהוָה אֱלֹהִים,and Hashem said,"Adonoy Elohim said, It is not good for the man to be alone. I will make a helper for him.","And the Lord God said, It is not good that the man should be alone; I will make him a help to match him.",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,phrase_boundary_check;source_only_recommended,Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_2_18_to_2_25_source_to_skill_map_row_003,Bereishis 2:18,הֱיוֹת הָאָדָם לְבַדּוֹ,the person being alone,"Adonoy Elohim said, It is not good for the man to be alone. I will make a helper for him.","And the Lord God said, It is not good that the man should be alone; I will make him a help to match him.",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,phrase_boundary_check;source_only_recommended,Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_2_18_to_2_25_source_to_skill_map_row_004,Bereishis 2:18,אֶעֱשֶׂה לּוֹ עֵזֶר כְּנֶגְדּוֹ,I will make for him a helper opposite him,"Adonoy Elohim said, It is not good for the man to be alone. I will make a helper for him.","And the Lord God said, It is not good that the man should be alone; I will make him a help to match him.",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,phrase_boundary_check;source_only_recommended,Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
