candidate_id	source_map_file	source_row_id	ref	hebrew_phrase	token_index	hebrew_token	clean_hebrew_no_nikud	proposed_translation	proposed_shoresh_or_keyword	proposed_vocabulary_category	first_150_match	first_150_entry_id	evidence_source_id	evidence_source_type	evidence_note	confidence	enrichment_review_status	yossi_decision	yossi_notes	question_allowed	protected_preview_allowed	runtime_allowed	reviewed_bank_allowed
vocab_b1_14_r002_t002	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_002	Bereishis 1:14	יְהִי מְאֹרֹת בִּרְקִיעַ הַשָּׁמַיִם	2	מאורות	מארת	luminaries / lights	מאור	noun_keyword	false		data/word_bank.json:מארת; data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv:row_002	project_word_bank_reference_only; verified_source_to_skill_map	מאורות is central to the slice but evidence is mostly contextual/word-bank.	medium	yossi_enrichment_verified	verified	Yossi verified: acceptable local vocabulary/shoresh evidence for enrichment only; all later gates remain closed.	needs_review	false	false	false
vocab_b1_14_r002_t004	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_002	Bereishis 1:14	יְהִי מְאֹרֹת בִּרְקִיעַ הַשָּׁמַיִם	4	רקיע	רקיע	expanse / firmament / sky	רקיע	noun_keyword	false		data/curriculum_extraction/reports/batch_002_manual_review_packet.md:רקיע; data/word_bank.json:רקיע	curriculum_extraction_manual_review_packet; project_word_bank_reference_only	רקיע has prior local explanatory evidence and word-bank support.	medium	yossi_enrichment_verified	verified	Yossi verified: acceptable local vocabulary/shoresh evidence for enrichment only; all later gates remain closed.	needs_review	false	false	false
vocab_b1_14_r002_t005	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_002	Bereishis 1:14	יְהִי מְאֹרֹת בִּרְקִיעַ הַשָּׁמַיִם	5	שמים	שמים	sky / heavens	שמים	noun_keyword	true	vocabulary_priority_pack:שמים	data/curriculum_extraction/raw_sources/batch_001/vocabulary_priority_pack_cleaned.md:line14; data/word_bank.json:שמים	vocabulary_priority_pack_raw_reference; project_word_bank_reference_only	שמים appears in local vocabulary seed evidence and word_bank.	medium	yossi_enrichment_verified	verified	Yossi verified: acceptable local vocabulary/shoresh evidence for enrichment only; all later gates remain closed.	needs_review	false	false	false
vocab_b1_14_r003_t003	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_003	Bereishis 1:14	לְהַבְדִּיל בֵּין הַיּוֹם וּבֵין הַלָּיְלָה	3	יום	יום	day	יום	noun_keyword	true	vocabulary_priority_pack:יום	data/curriculum_extraction/raw_sources/batch_001/vocabulary_priority_pack_cleaned.md:line14; data/word_bank.json:יום	vocabulary_priority_pack_raw_reference; project_word_bank_reference_only	יום appears in local vocabulary seed evidence.	medium	yossi_enrichment_verified	verified	Yossi verified: acceptable local vocabulary/shoresh evidence for enrichment only; all later gates remain closed.	needs_review	false	false	false
vocab_b1_14_r003_t006	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_003	Bereishis 1:14	לְהַבְדִּיל בֵּין הַיּוֹם וּבֵין הַלָּיְלָה	6	לילה	לילה	night	לילה	noun_keyword	true	vocabulary_priority_pack:לילה	data/curriculum_extraction/raw_sources/batch_001/vocabulary_priority_pack_cleaned.md:line14; data/word_bank.json:לילה	vocabulary_priority_pack_raw_reference; project_word_bank_reference_only	לילה appears in local vocabulary seed evidence.	medium	yossi_enrichment_verified	verified	Yossi verified: acceptable local vocabulary/shoresh evidence for enrichment only; all later gates remain closed.	needs_review	false	false	false
vocab_b1_14_r004_t002	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_004	Bereishis 1:14	וְהָיוּ לְאֹתֹת	2	אותות	אתת	signs	אות	noun_keyword	false		data/word_bank.json:אותות; data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv:row_004	project_word_bank_reference_only; verified_source_to_skill_map	אותות is contextually important but direct seed evidence is thin.	low	needs_follow_up	needs_follow_up	Yossi follow-up: evidence remains thin, contextual, or sensitive; keep unresolved for stronger support.	needs_review	false	false	false
vocab_b1_14_r005_t001	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_005	Bereishis 1:14	וּלְמוֹעֲדִים	1	מועדים	מועדים	appointed times / seasons	מועד	noun_keyword	false		data/word_bank.json:ולמועדים; data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv:row_005	project_word_bank_reference_only; verified_source_to_skill_map	מועדים is context-rich and useful, but standalone evidence is thin.	low	needs_follow_up	needs_follow_up	Yossi follow-up: evidence remains thin, contextual, or sensitive; keep unresolved for stronger support.	needs_review	false	false	false
vocab_b1_14_r006_t001	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_006	Bereishis 1:14	וּלְיָמִים וְשָׁנִים	1	ימים	ימים	days	יום	noun_keyword	true	vocabulary_priority_pack:יום	data/curriculum_extraction/raw_sources/batch_001/vocabulary_priority_pack_cleaned.md:line14; data/word_bank.json:ימים	vocabulary_priority_pack_raw_reference; project_word_bank_reference_only	ימים links to the יום vocabulary seed, but plural form review is useful.	medium	yossi_enrichment_verified	verified	Yossi verified: acceptable local vocabulary/shoresh evidence for enrichment only; all later gates remain closed.	needs_review	false	false	false
vocab_b1_14_r006_t002	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_006	Bereishis 1:14	וּלְיָמִים וְשָׁנִים	2	שנים	שנים	years	שנה	noun_keyword	true	vocabulary_priority_pack:שנה	data/curriculum_extraction/raw_sources/batch_001/vocabulary_priority_pack_cleaned.md:line14; data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv:row_006	vocabulary_priority_pack_raw_reference; verified_source_to_skill_map	שנים is supported by local שנה seed evidence, but plural mapping should be reviewed.	medium	yossi_enrichment_verified	verified	Yossi verified: acceptable local vocabulary/shoresh evidence for enrichment only; all later gates remain closed.	needs_review	false	false	false
vocab_b1_16_r014_t002	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_014	Bereishis 1:16	וְאֵת הַכּוֹכָבִים	2	כוכבים	כוכבים	stars	כוכב	noun_keyword	false		data/word_bank.json:הכוכבים; data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv:row_014	project_word_bank_reference_only; verified_source_to_skill_map	כוכבים is locally attested but not linked to a standalone seed.	low	needs_follow_up	needs_follow_up	Yossi follow-up: evidence remains thin, contextual, or sensitive; keep unresolved for stronger support.	needs_review	false	false	false
